Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
101,402,397,393,399,395
102,400,402,397,393,399
103,402,397,393,399,395
104,402,397,393,399,395
105,402,397,393,399,395
106,394,402,397,393,399
107,400,402,397,393,399
108,402,397,393,399,395
109,402,397,393,399,395
110,402,397,393,399,395
111,402,397,393,399,395
112,402,397,393,399,395
113,400,402,397,393,399
114,402,397,393,396,399
115,402,397,393,396,399
116,402,397,393,396,399
117,402,397,393,396,399
118,400,402,397,393,399
119,400,402,397,393,399
120,400,402,397,393,399
121,402,397,393,396,399
122,400,402,397,393,399
123,400,402,397,393,399
124,402,397,393,396,399
125,402,397,393,396,399
126,402,397,393,396,399
127,400,402,397,393,399
128,402,397,393,396,399
129,400,402,397,393,399
130,400,402,397,393,399
131,402,397,393,396,399
132,400,402,397,393,399
133,400,402,397,393,399
134,402,397,393,396,399
135,394,402,397,393,399
136,400,402,397,393,399
137,400,402,397,393,399
138,402,397,393,396,399
139,400,402,397,393,399
140,400,402,397,393,399
141,400,402,397,393,399
142,394,402,397,393,399
143,400,402,397,393,399
144,402,397,393,396,399
145,402,397,393,399,395
146,402,397,393,396,399
147,402,397,393,399,395
148,400,402,397,393,399
149,400,402,397,393,399
150,402,397,393,399,395
151,402,397,393,399,395
152,402,397,393,399,395
153,402,397,393,396,399
154,402,397,393,399,395
155,402,397,393,399,395
156,402,397,393,399,395
157,402,397,393,399,395
158,402,397,393,399,395
159,402,397,393,399,395
160,400,402,397,393,399
161,402,397,393,399,395
162,402,397,393,399,395
163,402,397,393,399,395
231,400,402,397,393,399
232,400,402,397,393,399
233,394,402,397,393,399
234,400,402,397,393,399
235,400,402,397,393,399
236,400,402,397,393,399
237,400,402,397,393,399
238,394,402,397,393,399
239,400,402,397,393,399
240,400,402,397,393,399
241,400,402,397,393,399
242,394,402,397,393,399
243,394,402,397,393,399
244,400,402,397,393,399
245,394,402,397,393,399
246,402,397,393,396,399
247,400,402,397,393,399
248,400,402,397,393,399
249,400,402,397,393,399
250,400,402,397,393,399
251,400,402,397,393,399
252,400,402,397,393,399
253,400,402,397,393,399
254,400,402,397,393,399
255,400,402,397,393,399
256,400,402,397,393,399
257,400,402,397,393,399
258,400,402,397,393,399
259,400,402,397,393,399
260,400,402,397,393,399
261,400,402,397,393,399
262,400,402,397,393,399
263,400,402,397,393,399
264,400,402,397,393,399
265,400,402,397,393,399
266,394,402,397,393,399
267,400,402,397,393,399
268,394,402,397,393,399
269,400,402,397,393,399
270,400,402,397,393,399
271,402,397,393,399,401
272,400,394,402,397,393
273,400,402,397,393,399
274,400,402,397,393,399
275,394,402,397,393,399
276,400,402,397,393,399
277,400,402,397,393,399
278,400,402,397,393,399
279,400,394,402,397,393
280,400,402,397,393,399
281,400,402,397,393,399
282,400,402,397,393,399
283,400,394,402,397,393
284,400,402,397,393,399
285,400,394,402,397,393
286,400,402,397,393,399
287,402,397,393,398,399
288,394,402,397,393,399
289,394,402,397,393,399
290,400,402,397,393,399
291,400,402,397,393,399
292,400,394,402,397,393
293,400,402,397,393,399
294,394,402,397,393,399
295,402,397,393,399,395
296,400,402,397,393,399
297,402,397,393,396,399
298,402,397,393,396,399
299,400,402,397,393,399
300,400,402,397,393,399
301,400,402,397,393,399
302,400,402,397,393,399
303,400,402,397,393,399
304,400,402,397,393,399
305,400,402,397,393,399
306,400,402,397,393,399
307,400,402,397,393,399
308,400,402,397,393,399
309,394,402,397,393,399
310,394,402,397,393,399
311,394,402,397,393,399
312,394,402,397,393,399
313,400,402,397,393,399
314,400,402,397,393,399
315,394,402,397,393,399
316,400,402,397,393,399
317,400,402,397,393,399
318,400,402,397,393,399
319,400,402,397,393,399
320,394,402,397,393,399
321,400,402,397,393,399
322,400,402,397,393,399
323,400,402,397,393,399
324,400,402,397,393,399
325,400,402,397,393,399
326,400,402,397,393,399
327,400,402,397,393,399
328,394,402,397,393,399
329,400,402,397,393,399
330,394,402,397,393,399
331,394,402,397,393,399
332,400,402,397,393,399
333,400,402,397,393,399
334,400,402,397,393,399
335,400,402,397,393,399
336,400,402,397,393,399
337,400,402,397,393,399
338,400,402,397,393,399
339,400,394,402,397,393
340,400,394,402,397,393
341,400,394,402,397,393
342,394,402,397,393,399
343,400,402,397,393,399
344,400,394,402,397,393
345,400,394,402,397,393
346,400,394,402,397,393
347,400,402,397,393,399
348,400,402,397,393,399
349,400,402,397,393,399
350,400,394,402,397,393
351,400,394,402,397,393
352,400,394,402,397,393
353,400,394,402,397,393
354,400,394,402,397,393
355,400,402,397,393,399
356,400,402,397,393,399
357,402,397,393,399,395
358,400,402,397,393,399
359,400,402,397,393,399
360,400,402,397,393,399
361,400,402,397,393,399
362,400,394,402,397,393
363,400,402,397,393,399
364,400,394,402,397,393
365,400,394,402,397,393
366,400,394,402,397,393
367,400,394,402,397,393
368,400,394,402,397,393
369,400,394,402,397,393
375,400,402,397,393,399
376,400,402,397,393,399
377,400,402,397,393,399
378,400,402,397,393,399
379,400,402,397,393,399
380,400,402,397,393,399
381,400,402,397,393,399
382,400,402,397,393,399
383,400,402,397,393,399
384,400,402,397,393,399
385,400,402,397,393,399
386,400,394,402,397,393
387,400,394,402,397,393
388,400,402,397,393,399
389,400,394,402,397,393
390,400,402,397,393,399
391,400,394,402,397,393
392,400,394,402,397,393
393,400,402,397,393,399
394,400,394,402,397,393
395,400,394,402,397,393
396,400,394,402,397,393
397,400,394,402,397,393
787,402,397,393,399,395
789,394,402,397,393,399
790,402,397,393,396,399
791,394,402,397,393,399
792,402,397,393,396,399
793,400,402,397,393,399
794,400,402,397,393,399
795,402,397,393,398,399
797,400,402,397,393,399
798,402,397,393,396,399
799,400,402,397,393,399
