Precinct,1st Choice,2nd Choice,3rd Choice,Count,1st Choice_Race,2nd Choice_Race,3rd Choice_Race
MINNEAPOLIS W-11 P-04,Jeremy Schroeder,Erica Mauter,,1,white,black,
MINNEAPOLIS W-11 P-06,John Quincy,Jeremy Schroeder,,1,white,white,
MINNEAPOLIS W-11 P-09,Erica Mauter,Jeremy Schroeder,John Quincy,1,black,white,white
MINNEAPOLIS W-11 P-06,Erica Mauter,Jeremy Schroeder,John Quincy,1,black,white,white
MINNEAPOLIS W-11 P-02,John Quincy,Jeremy Schroeder,Erica Mauter,1,white,white,black
MINNEAPOLIS W-11 P-10,John Quincy,Jeremy Schroeder,,1,white,white,
MINNEAPOLIS W-11 P-05,Jeremy Schroeder,John Quincy,Erica Mauter,1,white,white,black
MINNEAPOLIS W-11 P-03,Erica Mauter,Jeremy Schroeder,John Quincy,1,black,white,white
MINNEAPOLIS W-11 P-02,John Quincy,Jeremy Schroeder,,1,white,white,
MINNEAPOLIS W-11 P-01,Erica Mauter,Jeremy Schroeder,John Quincy,1,black,white,white
MINNEAPOLIS W-11 P-01,Jeremy Schroeder,Erica Mauter,John Quincy,1,white,black,white
MINNEAPOLIS W-11 P-04,Jeremy Schroeder,Erica Mauter,,1,white,black,
MINNEAPOLIS W-11 P-10,Jeremy Schroeder,John Quincy,Erica Mauter,1,white,white,black
MINNEAPOLIS W-11 P-04,John Quincy,Jeremy Schroeder,,1,white,white,
MINNEAPOLIS W-11 P-05,John Quincy,Jeremy Schroeder,Erica Mauter,1,white,white,black
MINNEAPOLIS W-11 P-08,Jeremy Schroeder,John Quincy,,1,white,white,
MINNEAPOLIS W-11 P-05,Jeremy Schroeder,Erica Mauter,,1,white,black,
MINNEAPOLIS W-11 P-02,John Quincy,Erica Mauter,,1,white,black,
MINNEAPOLIS W-11 P-02,Erica Mauter,Jeremy Schroeder,John Quincy,1,black,white,white
MINNEAPOLIS W-11 P-02,Jeremy Schroeder,Erica Mauter,John Quincy,1,white,black,white
MINNEAPOLIS W-11 P-07,Jeremy Schroeder,Erica Mauter,John Quincy,1,white,black,white
MINNEAPOLIS W-11 P-07,Jeremy Schroeder,John Quincy,UWI,1,white,white,
MINNEAPOLIS W-11 P-04,Erica Mauter,Jeremy Schroeder,,1,black,white,
MINNEAPOLIS W-11 P-10,Jeremy Schroeder,John Quincy,,1,white,white,
