Precinct,1ST CHOICE COUNCIL MEMBER WARD NINE WARD 9,2ND CHOICE COUNCIL MEMBER WARD NINE WARD 9,3RD CHOICE COUNCIL MEMBER WARD NINE WARD 9,COUNT,1ST CHOICE COUNCIL MEMBER WARD NINE WARD 9_Race,2ND CHOICE COUNCIL MEMBER WARD NINE WARD 9_Race,3RD CHOICE COUNCIL MEMBER WARD NINE WARD 9_Race
MINNEAPOLIS W-9 P-01,TY MOORE,UWI,,1,white,,
MINNEAPOLIS W-9 P-02,PAT FLEETHAM,GREGORY MCDONALD,ALONDRA CANO,1,white,white,hispanic
MINNEAPOLIS W-9 P-01,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-03,ABDI ABDULLE,,,1,black,,
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1,white,hispanic,white
MINNEAPOLIS W-9 P-04,,,,1,,,
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1,hispanic,white,white
MINNEAPOLIS W-9 P-03,ALONDRA CANO,,,1,hispanic,,
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,,1,white,hispanic,
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-03,TY MOORE,,,1,white,,
MINNEAPOLIS W-9 P-01,ABDI ABDULLE,ALONDRA CANO,GREGORY MCDONALD,1,black,hispanic,white
MINNEAPOLIS W-9 P-03,ALONDRA CANO,TY MOORE,,1,hispanic,white,
MINNEAPOLIS W-9 P-02,CHARLES CURTIS,,,1,white,,
MINNEAPOLIS W-9 P-06,ALONDRA CANO,GREGORY MCDONALD,TY MOORE,1,hispanic,white,white
MINNEAPOLIS W-9 P-01,TY MOORE,PAT FLEETHAM,ALONDRA CANO,1,white,white,hispanic
