Pref_Voter_Id,Contest_Id,Pref_Voter_Id,Serial_Number_Id,Tally_Type_Id,Precinct_Id,Over_Vote,Under_Vote,Choice_1,Choice_2,Choice_3,Choice_1_Race_Id,Choice_2_Race_Id,Choice_3_Race_Id
31861,70,31861,1,3,238,0,0,400,398,399,Hispanic,White,Black
31862,70,31862,1,3,238,0,0,398,94,0,White,94,0
31863,70,31863,1,3,238,0,0,400,398,399,Hispanic,White,Black
31864,70,31864,1,3,238,0,0,398,400,399,White,Hispanic,Black
31865,70,31865,1,3,238,0,0,400,398,399,Hispanic,White,Black
31866,70,31866,1,3,238,0,0,400,399,398,Hispanic,Black,White
31867,70,31867,1,3,238,0,0,398,0,0,White,0,0
31868,70,31868,1,3,238,0,1,0,0,0,0,0,0
31869,70,31869,1,3,238,0,0,398,400,399,White,Hispanic,Black
31870,70,31870,1,3,238,0,1,0,0,0,0,0,0
31871,70,31871,1,3,238,0,0,398,399,400,White,Black,Hispanic
31872,70,31872,1,3,238,0,0,399,0,0,Black,0,0
31873,70,31873,1,3,238,0,0,399,400,398,Black,Hispanic,White
31874,70,31874,1,3,238,0,0,399,400,398,Black,Hispanic,White
31875,70,31875,1,3,238,0,0,398,399,400,White,Black,Hispanic
31876,70,31876,1,3,238,0,1,0,0,0,0,0,0
31877,70,31877,1,3,238,0,0,399,398,400,Black,White,Hispanic
31878,70,31878,1,3,238,0,0,398,399,94,White,Black,94
31879,70,31879,1,3,238,0,0,399,400,398,Black,Hispanic,White
31880,70,31880,1,3,238,0,0,398,399,400,White,Black,Hispanic
31881,70,31881,1,3,238,0,0,400,398,399,Hispanic,White,Black
31882,70,31882,1,3,238,0,0,400,399,398,Hispanic,Black,White
31883,70,31883,1,3,238,0,0,399,398,400,Black,White,Hispanic
31884,70,31884,1,3,238,0,0,399,400,0,Black,Hispanic,0
31885,70,31885,1,3,238,0,0,399,0,0,Black,0,0
31886,70,31886,1,3,238,0,1,0,0,0,0,0,0
31887,70,31887,1,3,238,0,0,400,398,399,Hispanic,White,Black
31888,70,31888,1,3,238,0,0,400,0,0,Hispanic,0,0
31889,70,31889,1,3,238,0,0,400,0,0,Hispanic,0,0
31890,70,31890,1,3,238,0,0,399,398,400,Black,White,Hispanic
31891,70,31891,1,3,238,0,0,399,400,0,Black,Hispanic,0
31892,70,31892,1,3,238,0,0,400,399,398,Hispanic,Black,White
31893,70,31893,1,3,238,0,0,398,399,400,White,Black,Hispanic
31894,70,31894,1,3,238,0,0,398,400,399,White,Hispanic,Black
31895,70,31895,1,3,238,0,0,398,399,400,White,Black,Hispanic
31896,70,31896,1,3,238,0,0,398,0,0,White,0,0
31897,70,31897,1,3,238,0,1,0,0,0,0,0,0
31898,70,31898,1,3,238,0,0,400,399,0,Hispanic,Black,0
31899,70,31899,1,3,238,0,0,400,399,398,Hispanic,Black,White
31900,70,31900,1,3,238,0,0,400,0,0,Hispanic,0,0
31901,70,31901,1,3,238,0,0,400,398,399,Hispanic,White,Black
31902,70,31902,1,3,240,0,0,398,0,0,White,0,0
31903,70,31903,1,3,240,0,0,400,0,0,Hispanic,0,0
31904,70,31904,1,3,240,0,1,0,0,0,0,0,0
31905,70,31905,1,3,240,0,0,399,0,0,Black,0,0
31906,70,31906,1,3,240,0,0,399,0,0,Black,0,0
31907,70,31907,1,3,240,0,0,398,399,400,White,Black,Hispanic
31908,70,31908,1,3,240,0,0,399,0,0,Black,0,0
31909,70,31909,1,3,240,0,0,399,398,400,Black,White,Hispanic
31910,70,31910,1,3,240,0,1,0,0,0,0,0,0
31911,70,31911,1,3,240,0,0,400,398,399,Hispanic,White,Black
31912,70,31912,1,3,240,0,0,399,400,398,Black,Hispanic,White
31913,70,31913,1,3,240,0,0,398,400,399,White,Hispanic,Black
31914,70,31914,1,3,240,0,1,0,0,0,0,0,0
31915,70,31915,1,3,240,0,0,398,399,400,White,Black,Hispanic
31916,70,31916,1,3,240,0,0,398,399,0,White,Black,0
31917,70,31917,1,3,240,0,1,0,0,0,0,0,0
31918,70,31918,1,3,240,0,0,398,0,0,White,0,0
31919,70,31919,1,3,240,0,0,398,0,0,White,0,0
31920,70,31920,1,3,240,0,0,398,399,400,White,Black,Hispanic
31921,70,31921,1,3,240,0,0,398,0,0,White,0,0
31922,70,31922,1,3,240,0,0,400,0,0,Hispanic,0,0
31923,70,31923,1,3,240,0,0,400,398,0,Hispanic,White,0
31924,70,31924,1,3,240,0,0,399,398,400,Black,White,Hispanic
31925,70,31925,1,3,240,0,0,400,399,398,Hispanic,Black,White
31926,70,31926,1,3,240,0,0,399,0,0,Black,0,0
31927,70,31927,1,3,240,0,0,399,0,0,Black,0,0
31928,70,31928,1,3,240,0,1,0,0,0,0,0,0
31929,70,31929,1,3,240,0,0,94,398,399,94,White,Black
31930,70,31930,1,3,240,0,0,94,398,399,94,White,Black
31931,70,31931,1,3,240,0,0,399,400,398,Black,Hispanic,White
31932,70,31932,1,3,240,0,1,0,0,0,0,0,0
31933,70,31933,1,3,240,0,1,0,0,0,0,0,0
31934,70,31934,1,3,240,0,0,399,398,400,Black,White,Hispanic
31935,70,31935,1,3,240,0,0,398,0,0,White,0,0
31936,70,31936,1,3,240,0,0,399,400,398,Black,Hispanic,White
31937,70,31937,1,3,240,0,0,399,0,0,Black,0,0
31938,70,31938,1,3,240,0,0,399,0,0,Black,0,0
31939,70,31939,1,3,240,0,1,0,0,0,0,0,0
31940,70,31940,1,3,240,0,0,400,398,94,Hispanic,White,94
31941,70,31941,1,3,240,0,0,399,400,0,Black,Hispanic,0
31942,70,31942,1,3,240,0,0,399,398,400,Black,White,Hispanic
31943,70,31943,1,3,240,0,0,399,400,398,Black,Hispanic,White
31944,70,31944,1,3,240,0,0,399,398,400,Black,White,Hispanic
31945,70,31945,1,3,240,0,0,399,400,0,Black,Hispanic,0
31946,70,31946,1,3,240,0,0,398,399,0,White,Black,0
31947,70,31947,1,3,240,0,1,0,0,0,0,0,0
31948,70,31948,1,3,240,0,0,399,0,0,Black,0,0
31949,70,31949,1,3,240,0,0,399,0,0,Black,0,0
31950,70,31950,1,3,240,0,0,398,0,0,White,0,0
31951,70,31951,1,3,240,0,0,399,400,0,Black,Hispanic,0
31952,70,31952,1,3,240,0,0,398,0,0,White,0,0
31953,70,31953,1,3,240,0,1,0,0,0,0,0,0
31954,70,31954,1,3,240,0,1,0,0,0,0,0,0
31955,70,31955,1,3,240,0,1,0,0,0,0,0,0
31956,70,31956,1,3,240,0,0,400,398,0,Hispanic,White,0
31957,70,31957,1,3,240,0,0,398,399,0,White,Black,0
31958,70,31958,1,3,240,0,0,399,398,400,Black,White,Hispanic
31959,70,31959,1,3,240,0,0,399,0,0,Black,0,0
31960,70,31960,1,3,240,0,0,399,398,400,Black,White,Hispanic
31961,70,31961,1,3,240,0,0,400,0,0,Hispanic,0,0
31962,70,31962,1,3,240,0,0,398,400,399,White,Hispanic,Black
31963,70,31963,1,3,240,0,0,400,399,398,Hispanic,Black,White
31964,70,31964,1,3,240,0,0,399,398,94,Black,White,94
31965,70,31965,1,3,240,0,0,399,398,400,Black,White,Hispanic
31966,70,31966,1,3,240,0,0,400,0,0,Hispanic,0,0
31967,70,31967,1,3,240,0,0,399,0,0,Black,0,0
31968,70,31968,1,3,240,0,1,0,0,0,0,0,0
31969,70,31969,1,3,240,0,0,400,0,0,Hispanic,0,0
31970,70,31970,1,3,240,0,0,399,400,398,Black,Hispanic,White
31971,70,31971,1,3,240,0,0,400,0,0,Hispanic,0,0
31972,70,31972,1,3,240,0,0,398,400,0,White,Hispanic,0
31973,70,31973,1,3,240,0,0,400,0,0,Hispanic,0,0
31974,70,31974,1,3,240,0,0,399,0,0,Black,0,0
31975,70,31975,1,3,240,0,0,399,0,0,Black,0,0
31976,70,31976,1,3,240,0,1,0,0,0,0,0,0
31977,70,31977,1,3,240,0,1,0,0,0,0,0,0
31978,70,31978,1,3,240,0,0,398,399,0,White,Black,0
31979,70,31979,1,3,240,0,1,0,0,0,0,0,0
31980,70,31980,1,3,240,0,0,398,0,0,White,0,0
31981,70,31981,1,3,240,0,0,398,399,400,White,Black,Hispanic
31982,70,31982,1,3,240,0,0,398,399,400,White,Black,Hispanic
