Pref_Voter_Id,Contest_Id,Pref_Voter_Id,Serial_Number_Id,Tally_Type_Id,Precinct_Id,Over_Vote,Under_Vote,Choice_1,Choice_2,Choice_3,Choice_1_Race_Id,Choice_2_Race_Id,Choice_3_Race_Id
31861,65,31861,1,3,238,0,0,382,386,381,White,Undetermined,Black
31862,65,31862,1,3,238,0,0,384,383,385,Black,Black,Black
31863,65,31863,1,3,238,0,0,382,386,381,White,Undetermined,Black
31864,65,31864,1,3,238,0,0,384,383,385,Black,Black,Black
31865,65,31865,1,3,238,0,0,381,382,383,Black,White,Black
31866,65,31866,1,3,238,0,0,383,381,386,Black,Black,Undetermined
31867,65,31867,1,3,238,0,0,384,383,386,Black,Black,Undetermined
31868,65,31868,1,3,238,0,1,0,0,0,0,0,0
31869,65,31869,1,3,238,0,0,385,386,384,Black,Undetermined,Black
31870,65,31870,1,3,238,0,1,0,0,0,0,0,0
31871,65,31871,1,3,238,0,0,381,384,385,Black,Black,Black
31872,65,31872,1,3,238,0,0,385,0,0,Black,0,0
31873,65,31873,1,3,238,0,0,386,384,382,Undetermined,Black,White
31874,65,31874,1,3,238,0,0,382,385,383,White,Black,Black
31875,65,31875,1,3,238,0,0,382,383,381,White,Black,Black
31876,65,31876,1,3,238,0,1,0,0,0,0,0,0
31877,65,31877,1,3,238,0,0,382,385,386,White,Black,Undetermined
31878,65,31878,1,3,238,0,0,383,382,381,Black,White,Black
31879,65,31879,1,3,238,0,0,384,0,0,Black,0,0
31880,65,31880,1,3,238,0,0,384,386,385,Black,Undetermined,Black
31881,65,31881,1,3,238,0,0,382,386,381,White,Undetermined,Black
31882,65,31882,1,3,238,0,0,382,386,0,White,Undetermined,0
31883,65,31883,1,3,238,0,0,383,382,381,Black,White,Black
31884,65,31884,1,3,238,0,0,385,383,386,Black,Black,Undetermined
31885,65,31885,1,3,238,0,0,383,382,0,Black,White,0
31886,65,31886,1,3,238,0,1,0,0,0,0,0,0
31887,65,31887,1,3,238,0,0,382,386,383,White,Undetermined,Black
31888,65,31888,1,3,238,0,1,0,0,0,0,0,0
31889,65,31889,1,3,238,0,0,386,381,383,Undetermined,Black,Black
31890,65,31890,1,3,238,0,0,382,385,381,White,Black,Black
31891,65,31891,1,3,238,0,0,382,383,381,White,Black,Black
31892,65,31892,1,3,238,0,0,386,384,381,Undetermined,Black,Black
31893,65,31893,1,3,238,0,0,382,0,0,White,0,0
31894,65,31894,1,3,238,0,0,381,383,385,Black,Black,Black
31895,65,31895,1,3,238,0,0,385,384,386,Black,Black,Undetermined
31896,65,31896,1,3,238,0,0,384,0,0,Black,0,0
31897,65,31897,1,3,238,0,1,0,0,0,0,0,0
31898,65,31898,1,3,238,0,0,382,386,385,White,Undetermined,Black
31899,65,31899,1,3,238,0,0,382,386,384,White,Undetermined,Black
31900,65,31900,1,3,238,0,0,385,0,0,Black,0,0
31901,65,31901,1,3,238,0,0,382,384,385,White,Black,Black
31902,65,31902,1,3,240,0,0,381,383,385,Black,Black,Black
31903,65,31903,1,3,240,0,0,386,384,0,Undetermined,Black,0
31904,65,31904,1,3,240,0,0,385,382,384,Black,White,Black
31905,65,31905,1,3,240,0,0,383,0,0,Black,0,0
31906,65,31906,1,3,240,0,0,381,382,0,Black,White,0
31907,65,31907,1,3,240,0,0,383,382,381,Black,White,Black
31908,65,31908,1,3,240,0,0,382,0,0,White,0,0
31909,65,31909,1,3,240,0,0,385,381,384,Black,Black,Black
31910,65,31910,1,3,240,0,0,382,0,0,White,0,0
31911,65,31911,1,3,240,0,0,382,386,385,White,Undetermined,Black
31912,65,31912,1,3,240,0,0,383,384,381,Black,Black,Black
31913,65,31913,1,3,240,0,0,386,385,382,Undetermined,Black,White
31914,65,31914,1,3,240,0,1,0,0,0,0,0,0
31915,65,31915,1,3,240,0,0,384,382,383,Black,White,Black
31916,65,31916,1,3,240,0,0,382,386,0,White,Undetermined,0
31917,65,31917,1,3,240,0,0,384,0,0,Black,0,0
31918,65,31918,1,3,240,0,0,382,0,0,White,0,0
31919,65,31919,1,3,240,0,0,383,0,0,Black,0,0
31920,65,31920,1,3,240,0,0,381,383,384,Black,Black,Black
31921,65,31921,1,3,240,0,0,385,0,0,Black,0,0
31922,65,31922,1,3,240,0,0,381,0,0,Black,0,0
31923,65,31923,1,3,240,0,0,383,384,385,Black,Black,Black
31924,65,31924,1,3,240,0,0,383,385,384,Black,Black,Black
