Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
MINNEAPOLIS W-1 P-01,MARY LYNN MCPHERSON,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-1 P-02,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-1 P-03,MARY LYNN MCPHERSON,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-1 P-04,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-1 P-05,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-1 P-06,MARY LYNN MCPHERSON,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-1 P-07,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-1 P-08,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-1 P-09,MARY LYNN MCPHERSON,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-10 P-01,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-10 P-02,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-10 P-03A,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-10 P-04,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-10 P-05A,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-10 P-06,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
MINNEAPOLIS W-10 P-07,TOM NORDYKE,JASON STONE,ANNIE YOUNG,JOHN ERWIN,MEG FORNEY
