Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
MINNEAPOLIS W-1 P-01,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-1 P-02,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-1 P-03,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-1 P-04,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-1 P-05,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-1 P-06,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-1 P-07,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-1 P-08,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-1 P-09,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-10 P-01,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-10 P-02,BOB FINE,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-10 P-03A,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-10 P-04,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-10 P-05A,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW,DON SAMUELS,CAM WINTON
MINNEAPOLIS W-10 P-06,JACKIE CHERRYHOMES,MARK ANDREW,BETSY HODGES,DON SAMUELS,CAM WINTON
