Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
MINNEAPOLIS W-5 P-01,Cathy Spann,UWI,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
MINNEAPOLIS W-5 P-02,Cathy Spann,UWI,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
MINNEAPOLIS W-5 P-03,Cathy Spann,UWI,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
MINNEAPOLIS W-5 P-04,Cathy Spann,UWI,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
MINNEAPOLIS W-5 P-05,Cathy Spann,UWI,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
MINNEAPOLIS W-5 P-07,Cathy Spann,UWI,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
MINNEAPOLIS W-5 P-08,Cathy Spann,UWI,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
MINNEAPOLIS W-5 P-09,Cathy Spann,UWI,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
MINNEAPOLIS W-5 P-6C,Cathy Spann,UWI,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
