Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
MINNEAPOLIS W-1 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-1 P-03,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-1 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-1 P-05,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-1 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-1 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-1 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-1 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-1 P-10,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-10 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-10 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-10 P-03A,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-10 P-04,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-10 P-05A,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-10 P-06,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-10 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-10 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-10 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-10 P-10,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-11 P-01,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-11 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
