Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
MINNEAPOLIS W-13 P-07,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-08,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-09,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-10,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-11,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-12,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-13,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-01,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-02,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-03,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-04,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-05,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-06,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-07,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-08,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-09,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-10,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-2 P-11,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-01,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-02,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-03,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-04,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-05,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-06,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-07,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-08,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-09,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-10,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-3 P-11,Devin Hogan,Meg Forney,Mike Derus,Russ Henry,Latrisha Vetaw
MINNEAPOLIS W-3 P-12,Devin Hogan,Meg Forney,Mike Derus,Russ Henry,Latrisha Vetaw
MINNEAPOLIS W-4 P-01,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-4 P-02,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-4 P-03,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-4 P-04,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-4 P-05,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-4 P-06,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-4 P-07,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-4 P-08,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-5 P-01,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-5 P-02,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-5 P-03,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-5 P-04,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-5 P-05,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-5 P-07,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-5 P-08,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-5 P-09,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-5 P-6C,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-6 P-01,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-6 P-02,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-6 P-03,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-6 P-04,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-6 P-05,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-6 P-06,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-6 P-07,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-6 P-08,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-6 P-09,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-7 P-01C,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-7 P-02D,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-7 P-03,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-7 P-04D,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-7 P-05,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-7 P-06,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-7 P-07,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-7 P-08,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-7 P-09,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-7 P-10,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-8 P-01,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-8 P-02,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-8 P-03,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-8 P-04,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-8 P-05,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-8 P-06,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-8 P-07,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-8 P-08,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-9 P-01,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-9 P-02,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-9 P-03,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-9 P-04,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-9 P-05,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-9 P-06,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-9 P-07,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-9 P-08,Devin Hogan,Charlie Casserly,Meg Forney,Londel French,Latrisha Vetaw
MINNEAPOLIS W-9 P-09,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
