Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
MINNEAPOLIS W-1 P-01,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-1 P-02,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-1 P-03,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-1 P-04,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-1 P-05,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-1 P-06,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-1 P-07,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-1 P-08,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-1 P-09,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-1 P-10,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-10 P-01,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-10 P-02,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-10 P-03A,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-10 P-04,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-10 P-05A,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-10 P-06,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-10 P-07,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-10 P-08,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-10 P-09,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-10 P-10,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-11 P-01,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-11 P-02,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-11 P-03,Devin Hogan,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-11 P-04,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-11 P-05,Charlie Casserly,Meg Forney,Mike Derus,Russ Henry,Latrisha Vetaw
MINNEAPOLIS W-11 P-06,Charlie Casserly,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-11 P-07,Charlie Casserly,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-11 P-08,Charlie Casserly,Meg Forney,Mike Derus,Russ Henry,Latrisha Vetaw
MINNEAPOLIS W-11 P-09,Charlie Casserly,Meg Forney,Mike Derus,Russ Henry,Latrisha Vetaw
MINNEAPOLIS W-11 P-10,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-01,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-02,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-03,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-04,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-05,Charlie Casserly,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-06,Charlie Casserly,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-07,Meg Forney,Mike Derus,Russ Henry,Jonathan Honerbrink,Latrisha Vetaw
MINNEAPOLIS W-12 P-08,Charlie Casserly,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-09,Charlie Casserly,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-10,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-11,Devin Hogan,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-12,Charlie Casserly,Meg Forney,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-12 P-13,Charlie Casserly,Meg Forney,Mike Derus,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-01,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-02,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-03,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-04,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-05,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
MINNEAPOLIS W-13 P-06,Meg Forney,Mike Derus,Russ Henry,Londel French,Latrisha Vetaw
