,ranking
BHWA,246705
WHAB,189734
HWBA,129947
WHBA,124553
BWHA,106497
HBWA,104440
WBHA,35879
BWAH,28448
HWAB,15588
WBAH,12606
WABH,3393
BHAW,1689
HBAW,403
BAWH,61
BAHW,33
WAHB,24
