Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
120,385,383,384,382,386
238,385,383,384,382,386
240,385,383,384,382,386
241,385,383,384,382,386
242,385,383,384,382,386
243,385,383,384,382,381
244,385,383,384,382,386
245,385,383,384,382,386
246,385,383,384,382,386
247,385,383,384,382,386
248,385,383,384,382,386
249,385,383,384,382,381
250,385,383,384,382,386
252,385,383,384,382,386
253,385,383,384,382,386
254,385,383,384,382,381
255,385,383,384,382,381
262,385,383,384,382,386
263,385,383,384,382,386
264,385,383,384,382,381
265,385,383,384,382,381
266,385,383,384,382,386
267,385,383,384,382,381
268,385,383,384,382,381
269,385,383,384,382,381
270,385,384,382,381,386
271,385,383,384,382,381
272,385,383,384,382,386
273,385,383,384,382,381
274,385,383,384,382,386
275,385,383,384,382,381
276,385,383,384,382,381
277,385,383,384,382,381
278,385,383,384,382,381
280,385,383,384,382,381
282,385,383,384,382,381
807,385,383,384,382,386
811,385,383,382,381,386
816,385,383,384,382,381
817,385,383,384,382,381
818,385,383,384,382,381
819,385,383,384,382,381
820,383,384,382,381,386
821,385,384,382,381,386
822,385,383,384,382,386
