Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
127,390,389,387,388,90
128,390,389,387,388,90
129,390,389,387,388,90
130,390,389,387,388,90
260,390,389,387,388,90
261,390,389,387,388,90
284,390,389,387,388,90
285,390,389,387,388,90
317,390,389,387,388,90
318,390,389,387,388,90
321,390,389,387,388,90
322,390,389,387,388,90
323,390,389,387,388,90
324,390,389,387,388,90
325,390,389,387,388,90
326,390,389,387,388,90
328,390,389,387,388,90
329,390,389,387,388,90
330,390,389,387,388,90
798,390,389,387,388,90
803,390,389,387,388,90
825,390,389,387,388,90
828,390,389,387,388,90
830,390,389,387,388,90
833,390,389,387,388,90
