Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
100,420,431,422,428,419
101,430,420,432,431,428
102,430,420,432,431,428
103,430,420,431,422,428
104,420,432,431,422,428
105,430,420,432,431,428
106,430,420,431,422,428
107,430,420,431,422,428
108,430,420,431,422,428
109,430,420,431,422,428
110,430,420,431,422,428
111,420,432,431,422,428
112,430,420,432,431,428
113,420,432,431,428,419
114,420,432,431,428,419
115,420,432,431,428,419
116,420,432,431,428,419
117,420,432,431,428,419
118,420,432,431,428,419
119,420,432,431,428,419
120,420,432,431,428,419
121,420,432,431,428,419
122,430,420,432,431,419
123,420,432,431,428,419
124,420,432,431,428,419
125,420,432,431,428,419
126,420,432,431,428,419
127,420,432,431,428,419
128,420,432,431,428,419
129,420,432,431,422,428
130,420,432,431,428,419
131,420,432,431,428,419
132,420,432,431,428,419
133,420,432,431,428,419
134,420,432,431,428,419
135,420,432,431,428,419
136,420,432,431,428,419
137,420,432,431,428,419
138,420,432,431,428,419
139,420,432,431,428,419
140,420,432,431,428,419
141,420,432,431,428,419
142,420,432,431,428,419
143,420,432,431,428,419
144,420,432,431,422,428
145,420,432,431,428,419
146,430,420,431,422,428
147,430,420,432,431,428
148,430,420,431,422,428
149,420,432,431,422,428
150,420,432,431,422,428
151,430,420,432,431,428
152,430,420,432,431,428
153,420,432,431,422,428
154,430,420,432,431,428
155,420,431,422,428,419
156,420,432,431,422,428
157,420,432,431,422,428
158,420,432,431,422,428
159,430,420,432,431,428
160,420,432,431,422,428
161,420,432,431,422,428
162,430,420,431,422,428
227,430,420,432,431,419
228,430,420,432,431,419
229,420,432,431,428,419
230,420,432,431,428,419
231,430,420,432,431,419
232,430,420,432,431,419
233,420,432,431,428,419
234,430,420,432,431,419
235,420,432,431,428,419
236,420,432,431,428,419
237,430,420,432,431,419
238,420,432,431,428,419
239,430,420,432,431,419
240,430,420,432,431,419
241,420,432,431,428,419
242,420,432,431,428,419
243,420,432,431,428,419
244,420,432,431,428,419
245,420,432,431,428,419
246,420,432,431,428,419
247,420,432,431,428,419
248,420,432,431,428,419
249,420,432,431,428,419
250,420,432,431,428,419
251,420,432,431,428,419
252,420,432,431,428,419
253,420,432,431,428,419
254,420,432,431,428,419
255,420,432,431,428,419
256,420,432,431,428,419
257,420,432,431,428,419
258,420,432,431,428,419
259,430,420,432,431,428
260,420,432,431,428,419
261,420,432,431,428,419
262,420,432,431,428,419
263,420,432,431,428,419
264,420,432,431,428,419
265,420,432,431,428,419
266,420,432,431,428,419
267,430,420,432,431,419
268,430,420,432,431,419
269,430,420,432,431,419
270,430,420,432,431,419
271,430,420,432,431,419
272,420,432,431,428,419
273,420,432,431,428,419
274,420,432,431,428,419
275,430,420,432,431,419
276,430,420,432,431,419
277,430,420,432,431,419
278,430,420,432,431,419
279,430,420,432,431,419
280,430,420,432,431,419
281,430,420,432,431,419
282,420,432,431,428,419
283,420,432,431,428,419
284,420,432,431,428,427
285,420,432,431,418,419
286,420,432,431,428,419
287,430,420,432,431,419
288,420,432,431,428,419
289,420,432,431,428,419
290,430,420,432,431,419
291,420,432,431,428,419
292,420,432,431,428,419
293,420,432,431,428,419
294,420,432,431,428,419
295,420,432,431,428,419
296,420,432,431,428,419
297,420,432,431,428,419
298,420,432,431,428,419
299,420,432,431,428,419
300,420,432,431,428,419
301,420,432,431,428,419
302,420,432,431,428,419
303,420,432,431,428,419
304,420,432,431,428,419
305,420,432,431,428,419
306,430,420,432,431,428
307,420,432,431,422,428
308,420,432,431,428,419
309,420,432,431,428,419
310,420,432,431,428,419
311,430,420,432,431,419
312,430,420,432,431,419
