Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
000101,C02,C18,C03,C08,C20
000102,C18,C03,C05,C08,C20
000103,C01,C18,C03,C08,C20
000201,C16,C01,C18,C21,C09
000202,C16,C18,C03,C07,C09
000203,C04,C02,C18,C03,C20
000301,C01,C18,C03,C08,C20
000302,C02,C18,C03,C21,C20
000303,C16,C01,C18,C03,C21
000304,C18,C20,C19,C03,C09
000401,C16,C01,C18,C03,C09
000402,C16,C03,C21,C10,C09
000403,C16,C03,C21,C10,C09
000501,C18,C01,C03,C21,C09
000502,C18,C01,C03,C10,C09
000503,C01,C03,C21,C10,C09
000601,C17,C20,C03,C21,C09
000602,C16,C03,C21,C10,C09
000603,C02,C17,C03,C21,C08
000701,C02,C17,C03,C05,C10
000702,C02,C18,C03,C21,C10
000703,C02,C16,C03,C07,C09
000801,C02,C17,C03,C05,C10
000802,C02,C17,C18,C03,C08
000803,C04,C16,C03,C07,C09
000901,C04,C17,C03,C08,C10
000902,C01,C18,C03,C08,C10
000903,C18,C03,C05,C08,C10
001001,C03,C21,C05,C08,C10
001002,C02,C17,C03,C05,C10
001003,C18,C03,C05,C08,C10
001101,C16,C01,C18,C12,C09
001102,C02,C01,C03,C05,C08
001103,C18,C03,C05,C08,C10
