Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
000101,C18,C17,C03,C12,C05
000102,C18,C17,C03,C12,C05
000103,C16,C18,C17,C12,C05
000201,C04,C16,C17,C05,C14
000202,C03,C07,C06,C14,C10
000203,C13,C17,C03,C12,C06
000301,C04,C16,C18,C17,C05
000302,C04,C16,C18,C17,C15
000303,C04,C16,C17,C06,C14
000401,C16,C01,C17,C03,C14
000402,C16,C17,C03,C15,C14
000403,C04,C16,C17,C14,C10
000501,C04,C16,C17,C03,C14
000502,C04,C16,C17,C03,C14
000503,C04,C16,C17,C03,C05
000601,C04,C16,C17,C15,C05
000602,C04,C13,C17,C03,C15
000603,C04,C17,C03,C15,C05
000701,C04,C13,C03,C15,C05
000702,C04,C13,C03,C15,C05
000703,C16,C13,C03,C15,C14
000801,C04,C13,C03,C15,C05
000802,C04,C13,C03,C15,C05
000803,C04,C16,C13,C06,C05
000901,C04,C13,C03,C15,C12
000902,C04,C17,C03,C12,C05
000903,C13,C17,C03,C12,C05
001001,C16,C13,C03,C05,C10
001002,C04,C13,C03,C15,C05
001003,C04,C16,C17,C05,C14
001101,C16,C17,C05,C14,C08
001102,C04,C17,C03,C05,C10
001103,C17,C03,C12,C05,C10
