Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
000101,C13,C01,C15,C06,C05
000102,C13,C01,C15,C06,C05
000103,C13,C01,C15,C06,C05
000201,C16,C13,C17,C11,C15
000202,C16,C01,C17,C07,C12
000203,C02,C16,C13,C01,C17
000301,C16,C13,C01,C15,C05
000302,C16,C13,C01,C11,C15
000303,C16,C13,C01,C17,C11
000401,C02,C01,C13,C17,C11
000402,C02,C16,C13,C01,C12
000403,C13,C01,C17,C11,C03
000501,C02,C16,C13,C01,C11
000502,C02,C13,C01,C17,C03
000503,C02,C16,C13,C01,C03
000601,C16,C01,C17,C15,C12
000602,C02,C16,C01,C11,C05
000603,C02,C16,C01,C12,C06
000701,C02,C04,C01,C03,C12
000702,C02,C16,C01,C12,C05
000703,C02,C16,C13,C01,C11
000801,C02,C04,C01,C03,C12
000802,C02,C01,C03,C05,C14
000803,C02,C04,C01,C11,C12
000901,C02,C16,C01,C03,C05
000902,C02,C01,C17,C03,C05
000903,C13,C01,C03,C15,C05
001001,C04,C02,C01,C03,C05
001002,C02,C04,C01,C03,C12
001003,C02,C13,C01,C11,C03
001101,C13,C18,C11,C03,C05
001102,C04,C13,C01,C17,C05
001103,C04,C13,C01,C03,C05
