Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
000101,C02,C18,C01,C06,C20
000102,C18,C01,C12,C06,C20
000103,C16,C18,C12,C06,C20
000201,C16,C18,C15,C06,C20
000202,C13,C17,C18,C03,C15
000203,C04,C02,C13,C17,C03
000301,C18,C01,C15,C06,C20
000302,C16,C01,C18,C06,C20
000303,C04,C16,C03,C15,C06
000401,C04,C02,C16,C15,C06
000402,C02,C16,C03,C15,C06
000403,C04,C13,C18,C03,C15
000501,C04,C02,C16,C18,C15
000502,C04,C02,C16,C18,C15
000503,C02,C04,C16,C18,C06
000601,C04,C02,C18,C06,C14
000602,C02,C13,C18,C06,C14
000603,C02,C13,C18,C06,C14
000701,C02,C04,C13,C06,C14
000702,C02,C13,C15,C06,C14
000703,C02,C13,C03,C06,C14
000801,C02,C04,C13,C06,C09
000802,C02,C13,C18,C06,C14
000803,C04,C13,C03,C15,C06
000901,C02,C04,C13,C12,C06
000902,C02,C13,C18,C12,C06
000903,C02,C13,C18,C12,C06
001001,C02,C04,C12,C06,C09
001002,C02,C04,C13,C12,C06
001003,C02,C16,C18,C15,C06
001101,C16,C18,C15,C06,C08
001102,C02,C18,C12,C06,C09
001103,C02,C18,C12,C06,C09
