Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
000101,C01,C15,C06,C05,C14
000102,C01,C03,C15,C06,C14
000103,C11,C03,C15,C06,C14
000201,C16,C13,C11,C15,C12
000202,C04,C13,C01,C03,C15
000203,C04,C13,C01,C11,C09
000301,C13,C03,C15,C06,C14
000302,C13,C01,C11,C15,C12
000303,C02,C13,C01,C11,C12
000401,C02,C13,C01,C11,C07
000402,C13,C01,C11,C12,C09
000403,C02,C13,C11,C14,C09
000501,C02,C16,C13,C01,C11
000502,C02,C16,C13,C01,C11
000503,C02,C16,C13,C01,C05
000601,C02,C16,C01,C15,C12
000602,C02,C01,C11,C12,C14
000603,C02,C01,C12,C14,C09
000701,C02,C01,C12,C05,C09
000702,C02,C01,C12,C05,C09
000703,C13,C01,C11,C05,C09
000801,C02,C01,C12,C05,C09
000802,C02,C01,C12,C06,C09
000803,C02,C01,C11,C05,C09
000901,C02,C01,C12,C06,C09
000902,C02,C01,C06,C14,C09
000903,C02,C01,C06,C14,C09
001001,C02,C01,C12,C06,C05
001002,C02,C01,C12,C06,C09
001003,C13,C01,C11,C05,C09
001101,C02,C13,C11,C03,C09
001102,C13,C01,C06,C05,C14
001103,C02,C12,C06,C05,C14
