Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
000101,C04,C19,C12,C14,C20
000102,C04,C03,C12,C14,C20
000103,C04,C19,C12,C14,C20
000201,C01,C22,C19,C14,C20
000202,C22,C03,C06,C14,C10
000203,C04,C19,C03,C14,C20
000301,C04,C01,C19,C14,C20
000302,C04,C01,C19,C03,C14
000303,C04,C01,C19,C21,C14
000304,C19,C03,C21,C14,C20
000401,C01,C19,C15,C06,C14
000402,C19,C03,C21,C15,C14
000403,C01,C19,C15,C12,C14
000501,C04,C01,C19,C15,C14
000502,C01,C19,C15,C14,C10
000503,C04,C01,C19,C15,C14
000601,C04,C19,C03,C21,C14
000602,C19,C03,C15,C06,C14
000603,C02,C03,C21,C12,C14
000701,C02,C21,C15,C14,C10
000702,C02,C19,C03,C14,C10
000703,C02,C19,C03,C06,C14
000801,C02,C03,C14,C08,C10
000802,C02,C19,C03,C08,C10
000803,C19,C03,C21,C12,C14
000901,C02,C03,C15,C12,C08
000902,C03,C15,C12,C14,C08
000903,C19,C03,C12,C08,C10
001001,C19,C03,C12,C14,C10
001002,C02,C03,C12,C08,C10
001003,C19,C03,C14,C08,C10
001101,C01,C19,C15,C12,C14
001102,C19,C03,C12,C14,C10
001103,C19,C21,C12,C14,C10
