,1M,1P,2M,2P,3M,3P
HWBA,53008.0,1171.0,27200.0,25691.0,0.0,4178.0
HWAB,2610.0,27.0,5876.0,7823.0,0.0,0.0
HBWA,30185.0,1267.0,30974.0,62155.0,0.0,6989.0
HBAW,3.0,0.0,28.0,81.0,0.0,0.0
HAWB,0.0,0.0,0.0,0.0,0.0,0.0
HABW,0.0,0.0,0.0,0.0,0.0,0.0
WHBA,75558.0,38988.0,16508.0,19846.0,0.0,1422.0
WHAB,41881.0,21334.0,84790.0,24494.0,0.0,0.0
WBHA,11297.0,3845.0,81.0,6088.0,0.0,1122.0
WBAH,13581.0,2637.0,269.0,4204.0,0.0,0.0
WAHB,7470.0,199.0,0.0,0.0,0.0,0.0
WABH,13305.0,114.0,0.0,0.0,0.0,0.0
BHWA,86697.0,2380.0,59443.0,51207.0,0.0,4243.0
BHAW,107.0,0.0,82.0,147.0,0.0,0.0
BWHA,123954.0,2735.0,343.0,5801.0,0.0,2377.0
BWAH,9032.0,145.0,427.0,2577.0,0.0,0.0
BAHW,0.0,0.0,0.0,0.0,0.0,0.0
BAWH,4.0,0.0,0.0,0.0,0.0,0.0
AHWB,0.0,0.0,0.0,0.0,0.0,0.0
AHBW,0.0,0.0,0.0,0.0,0.0,0.0
AWHB,0.0,0.0,0.0,0.0,0.0,0.0
AWBH,0.0,0.0,0.0,0.0,0.0,0.0
ABHW,0.0,0.0,0.0,0.0,0.0,0.0
ABWH,0.0,0.0,0.0,0.0,0.0,0.0
