,ranking
BHWA,203970
WHAB,172499
WHBA,152322
BWHA,135210
HBWA,131570
HWBA,111248
WBHA,22433
WBAH,20691
HWAB,16336
WABH,13419
BWAH,12181
WAHB,7669
BHAW,336
HBAW,112
BAWH,4
