,Asian,Black,Hispanic,White
318,0,10,10,10
319,0,9,12,9
320,0,9,11,10
321,0,9,11,10
322,0,11,9,10
323,0,10,10,10
324,0,10,11,9
325,0,10,7,13
326,0,10,6,14
327,1,11,8,10
328,0,8,11,11
329,0,8,9,13
330,0,11,9,10
331,0,9,10,11
332,0,10,9,11
333,0,12,9,9
334,0,11,9,10
335,1,12,8,9
336,0,9,10,11
337,1,10,10,9
338,0,10,11,9
339,0,10,8,12
340,0,10,8,12
341,0,11,8,11
342,1,10,8,11
343,0,11,7,12
344,0,11,8,11
345,0,9,9,12
346,0,10,11,9
347,0,9,7,14
348,0,10,7,13
349,0,12,8,10
350,0,9,11,10
351,0,12,8,10
352,0,9,9,12
353,0,11,7,12
354,0,11,9,10
355,0,11,9,10
356,0,10,9,11
357,0,11,8,11
358,0,8,10,12
359,0,9,8,13
360,0,10,9,11
361,0,11,9,10
362,0,10,11,9
363,0,10,10,10
364,0,12,9,9
365,0,10,12,8
366,0,12,9,9
367,0,12,8,10
368,1,10,8,11
369,0,10,10,10
370,0,10,10,10
371,0,8,10,12
372,0,11,9,10
373,0,8,9,13
374,0,11,9,10
375,0,10,8,12
376,0,12,8,10
377,0,9,12,9
378,0,8,9,13
379,0,11,7,12
380,0,9,11,10
381,0,11,9,10
382,0,11,9,10
383,0,11,8,11
384,0,10,10,10
385,0,10,9,11
386,1,12,6,11
387,1,9,8,12
388,0,9,8,13
389,0,10,8,12
390,0,8,9,13
391,0,10,8,12
392,0,12,7,11
393,0,10,9,11
394,0,12,9,9
395,0,12,9,9
396,0,11,7,12
397,0,9,10,11
398,0,11,10,9
399,0,11,11,8
400,0,13,7,10
401,0,10,8,12
402,0,11,10,9
403,0,11,8,11
404,0,11,7,12
405,1,10,10,9
406,0,11,9,10
407,0,9,10,11
408,0,10,9,11
409,0,8,11,11
410,0,11,7,12
411,0,12,8,10
412,0,11,8,11
413,0,10,10,10
414,0,11,10,9
415,0,10,10,10
416,0,11,7,12
417,0,8,12,10
418,0,11,7,12
419,0,11,10,9
420,0,9,10,11
421,0,8,8,14
422,0,10,10,10
423,0,11,7,12
424,0,11,8,11
425,0,11,5,14
426,0,12,8,10
427,0,11,6,13
428,0,12,7,11
429,0,10,7,13
430,0,10,9,11
431,0,10,7,13
432,1,9,10,10
433,0,11,9,10
434,1,9,12,8
435,0,10,8,12
436,1,8,11,10
437,0,10,9,11
438,0,11,8,11
439,0,10,8,12
440,1,8,9,12
441,0,8,12,10
442,1,11,11,7
443,0,9,8,13
444,1,10,9,10
445,0,11,9,10
446,0,11,11,8
447,0,9,9,12
448,0,11,7,12
449,0,13,9,8
450,0,10,7,13
451,0,10,8,12
452,0,9,12,9
453,0,10,8,12
454,0,11,8,11
455,0,10,8,12
456,0,12,8,10
457,0,11,8,11
458,0,10,8,12
459,0,10,9,11
460,0,10,9,11
461,0,10,11,9
462,0,10,10,10
463,0,11,8,11
464,0,9,9,12
465,0,12,5,13
466,0,10,9,11
467,0,11,8,11
468,0,8,10,12
469,0,12,6,12
470,0,9,10,11
471,0,10,9,11
472,0,10,10,10
473,0,10,8,12
474,0,11,7,12
475,0,11,8,11
476,0,8,10,12
477,0,11,8,11
478,0,11,7,12
479,0,10,9,11
480,0,8,11,11
481,0,10,9,11
482,0,11,6,13
483,0,11,7,12
484,0,11,7,12
485,0,9,10,11
486,0,9,11,10
487,0,11,9,10
488,0,10,10,10
489,0,10,8,12
490,0,10,8,12
491,0,11,8,11
492,0,10,9,11
493,0,9,11,10
494,0,11,9,10
495,0,10,9,11
496,0,10,9,11
497,0,9,10,11
498,0,10,9,11
499,0,11,8,11
500,0,9,10,11
501,0,9,10,11
502,0,11,8,11
503,0,11,9,10
504,0,11,7,12
505,0,8,13,9
506,0,9,11,10
507,0,12,8,10
508,1,13,8,8
509,0,9,10,11
510,1,9,9,11
511,0,11,7,12
512,0,12,8,10
513,0,11,8,11
514,0,10,8,12
515,0,11,8,11
516,0,10,8,12
517,0,10,8,12
518,0,11,9,10
519,0,10,8,12
520,0,11,6,13
521,0,11,9,10
522,0,10,7,13
523,0,11,8,11
524,0,7,14,9
