,Asian,Black,Hispanic,White
0,1,18,12,19
1,1,17,15,17
2,0,13,15,22
3,2,17,12,19
4,1,15,14,20
5,1,14,12,23
6,1,15,12,22
7,0,16,16,18
8,0,14,15,21
9,0,18,14,18
10,0,17,12,21
11,1,14,16,19
12,1,17,10,22
13,1,11,16,22
14,0,15,16,19
15,1,14,18,17
16,1,13,16,20
17,1,15,15,19
18,0,17,11,22
19,1,17,13,19
20,2,15,15,18
21,1,16,9,24
22,2,15,12,21
23,0,14,13,23
24,1,18,13,18
25,2,14,12,22
26,0,16,16,18
27,1,13,15,21
28,0,18,13,19
29,1,18,13,18
30,2,15,15,18
31,3,13,17,17
32,0,18,12,20
33,0,17,13,20
34,1,16,14,19
35,0,16,17,17
36,1,16,12,21
37,2,15,15,18
38,1,17,16,16
39,0,17,13,20
40,1,14,15,20
41,0,14,14,22
42,1,16,11,22
43,1,14,15,20
44,1,18,12,19
45,0,17,16,17
46,1,17,15,17
47,1,13,15,21
48,0,16,14,20
49,0,16,17,17
50,0,18,13,19
51,1,14,16,19
52,1,17,10,22
53,0,14,15,21
54,2,15,17,16
55,1,17,12,20
56,1,17,13,19
57,2,16,11,21
58,1,14,16,19
59,1,14,15,20
60,0,16,15,19
61,1,16,12,21
62,1,14,15,20
63,1,16,15,18
64,1,15,13,21
65,0,17,12,21
66,2,15,13,20
67,0,15,15,20
68,0,16,15,19
69,0,17,17,16
70,0,17,13,20
71,1,13,15,21
72,2,16,12,20
73,1,15,15,19
74,0,16,15,19
75,1,15,16,18
76,0,16,13,21
77,1,15,14,20
78,1,13,16,20
79,0,16,18,16
80,1,17,14,18
81,1,18,12,19
82,0,15,13,22
83,0,13,15,22
84,1,15,16,18
85,1,12,14,23
86,0,14,15,21
87,1,15,15,19
88,1,15,14,20
89,1,18,13,18
90,2,13,16,19
91,0,16,16,18
92,1,16,12,21
93,1,16,13,20
94,1,15,14,20
95,0,16,16,18
96,2,15,14,19
97,2,12,18,18
98,1,14,13,22
99,1,13,15,21
100,1,16,15,18
101,0,16,11,23
102,2,16,13,19
103,2,16,16,16
104,1,15,13,21
105,0,14,12,24
106,1,12,16,21
107,4,14,15,17
108,1,13,19,17
109,0,17,12,21
110,1,17,10,22
111,0,15,15,20
112,1,15,17,17
113,1,12,19,18
114,0,16,17,17
115,3,17,14,16
116,0,13,17,20
117,0,16,13,21
118,2,13,15,20
119,0,15,12,23
120,1,15,15,19
121,1,14,14,21
122,0,17,15,18
123,0,14,15,21
124,2,14,17,17
125,1,12,14,23
126,1,14,15,20
127,2,14,15,19
128,1,13,16,20
129,0,14,14,22
130,1,13,19,17
131,0,17,12,21
132,2,12,21,15
133,0,16,15,19
134,1,13,14,22
135,0,14,13,23
136,1,14,15,20
137,1,14,16,19
138,2,15,12,21
139,1,11,14,24
140,1,15,13,21
141,3,17,13,17
142,2,17,11,20
143,2,13,15,20
144,2,16,13,19
145,2,14,11,23
146,1,15,12,22
147,3,12,17,18
148,0,15,13,22
149,0,17,16,17
150,0,16,14,20
151,2,15,17,16
152,1,16,15,18
153,3,15,14,18
154,1,16,11,22
155,0,13,15,22
156,1,13,16,20
157,1,15,14,20
158,1,16,15,18
159,2,16,14,18
