,top_one_wins,top_two_equal,top_three_equal
A,0.30377,1.9769700000000001,6.355443333333333
B,15.32354,12.868194999999998,12.034020000000002
H,14.17089,18.8524,14.956253333333333
W,20.2018,16.302435000000003,16.654283333333332
