Asian,Black,Hispanic,White,0
0,10,16,24,2
0,10,17,23,2
0,10,20,20,1
0,11,13,26,1
0,11,14,25,1
0,11,15,24,2
0,11,16,23,6
0,11,17,22,11
0,11,18,21,13
0,11,19,20,5
0,11,20,19,6
0,11,21,18,3
0,11,24,15,1
0,12,12,26,1
0,12,13,25,6
0,12,14,24,12
0,12,15,23,34
0,12,16,22,46
0,12,17,21,68
0,12,18,20,75
0,12,19,19,55
0,12,20,18,30
0,12,21,17,8
0,12,22,16,2
0,12,23,15,1
0,13,11,26,3
0,13,12,25,11
0,13,13,24,32
0,13,14,23,88
0,13,15,22,210
0,13,16,21,340
0,13,17,20,374
0,13,18,19,313
0,13,19,18,216
0,13,20,17,117
0,13,21,16,36
0,13,22,15,9
0,13,23,14,5
0,13,24,13,1
0,14,11,25,12
0,14,12,24,52
0,14,13,23,167
0,14,14,22,479
0,14,15,21,798
0,14,16,20,1072
0,14,17,19,1155
0,14,18,18,850
0,14,19,17,468
0,14,20,16,194
0,14,21,15,72
0,14,22,14,12
0,14,23,13,2
0,15,9,26,1
0,15,10,25,10
0,15,11,24,60
0,15,12,23,247
0,15,13,22,674
0,15,14,21,1388
0,15,15,20,2242
0,15,16,19,2466
0,15,17,18,2034
0,15,18,17,1245
0,15,19,16,582
0,15,20,15,202
0,15,21,14,41
0,15,22,13,13
0,16,9,25,3
0,16,10,24,29
0,16,11,23,181
0,16,12,22,667
0,16,13,21,1603
0,16,14,20,2902
0,16,15,19,3764
0,16,16,18,3350
0,16,17,17,2296
0,16,18,16,1166
0,16,19,15,436
0,16,20,14,120
0,16,21,13,24
0,16,22,12,3
0,17,8,25,1
0,17,9,24,14
0,17,10,23,92
0,17,11,22,407
0,17,12,21,1246
0,17,13,20,2565
0,17,14,19,3802
0,17,15,18,3951
0,17,16,17,2926
0,17,17,16,1658
0,17,18,15,645
0,17,19,14,174
0,17,20,13,29
0,17,21,12,6
0,17,22,11,1
0,18,7,25,1
0,18,8,24,1
0,18,9,23,35
0,18,10,22,160
0,18,11,21,599
0,18,12,20,1426
0,18,13,19,2544
0,18,14,18,3067
0,18,15,17,2626
0,18,16,16,1646
0,18,17,15,702
0,18,18,14,193
0,18,19,13,49
0,18,20,12,7
0,18,21,11,1
0,19,8,23,2
0,19,9,22,42
0,19,10,21,192
0,19,11,20,570
0,19,12,19,1245
0,19,13,18,1652
0,19,14,17,1633
0,19,15,16,1060
0,19,16,15,541
0,19,17,14,177
0,19,18,13,44
0,19,19,12,4
0,20,8,22,3
0,20,9,21,34
0,20,10,20,127
0,20,11,19,343
0,20,12,18,603
0,20,13,17,640
0,20,14,16,541
0,20,15,15,295
0,20,16,14,103
0,20,17,13,30
0,20,18,12,6
0,21,8,21,4
0,21,9,20,18
0,21,10,19,65
0,21,11,18,114
0,21,12,17,173
0,21,13,16,137
0,21,14,15,81
0,21,15,14,42
0,21,16,13,15
0,21,17,12,3
0,22,8,20,3
0,22,9,19,4
0,22,10,18,16
0,22,11,17,17
0,22,12,16,24
0,22,13,15,24
0,22,14,14,9
0,22,15,13,5
0,22,16,12,2
0,23,9,18,1
0,23,11,16,8
0,23,12,15,2
0,23,13,14,3
0,23,14,13,2
0,24,11,15,2
1,11,14,24,2
1,11,15,23,1
1,11,16,22,3
1,11,17,21,4
1,11,19,19,1
1,11,20,18,2
1,11,21,17,1
1,12,14,23,6
1,12,15,22,10
1,12,16,21,14
1,12,17,20,20
1,12,18,19,21
1,12,19,18,13
1,12,20,17,7
1,12,21,16,9
1,13,12,24,6
1,13,13,23,19
1,13,14,22,32
1,13,15,21,84
1,13,16,20,110
1,13,17,19,113
1,13,18,18,123
1,13,19,17,61
1,13,20,16,25
1,13,21,15,5
1,13,22,14,2
1,14,9,26,1
1,14,10,25,1
1,14,11,24,4
1,14,12,23,20
1,14,13,22,77
1,14,14,21,175
1,14,15,20,272
1,14,16,19,392
1,14,17,18,330
1,14,18,17,228
1,14,19,16,116
1,14,20,15,31
1,14,21,14,12
1,14,22,13,2
1,15,10,24,3
1,15,11,23,24
1,15,12,22,95
1,15,13,21,257
1,15,14,20,448
1,15,15,19,644
1,15,16,18,700
1,15,17,17,534
1,15,18,16,326
1,15,19,15,106
1,15,20,14,50
1,15,21,13,8
1,15,22,12,1
1,16,9,24,4
1,16,10,23,14
1,16,11,22,83
1,16,12,21,253
1,16,13,20,562
1,16,14,19,855
1,16,15,18,1073
1,16,16,17,897
1,16,17,16,573
1,16,18,15,268
1,16,19,14,101
1,16,20,13,18
1,16,21,12,4
1,17,8,24,1
1,17,9,23,9
1,17,10,22,35
1,17,11,21,140
1,17,12,20,422
1,17,13,19,783
1,17,14,18,1121
1,17,15,17,1025
1,17,16,16,710
1,17,17,15,375
1,17,18,14,119
1,17,19,13,33
1,17,20,12,1
1,18,9,22,13
1,18,10,21,61
1,18,11,20,210
1,18,12,19,464
1,18,13,18,752
1,18,14,17,820
1,18,15,16,576
1,18,16,15,344
1,18,17,14,143
1,18,18,13,41
1,18,19,12,11
1,18,20,11,1
1,19,8,22,3
1,19,9,21,14
1,19,10,20,77
1,19,11,19,195
1,19,12,18,286
1,19,13,17,381
1,19,14,16,348
1,19,15,15,221
1,19,16,14,110
1,19,17,13,36
1,19,18,12,5
1,19,19,11,1
1,20,8,21,1
1,20,9,20,14
1,20,10,19,41
1,20,11,18,101
1,20,12,17,112
1,20,13,16,123
1,20,14,15,100
1,20,15,14,60
1,20,16,13,18
1,20,17,12,4
1,21,8,20,1
1,21,9,19,5
1,21,10,18,14
1,21,11,17,30
1,21,12,16,42
1,21,13,15,39
1,21,14,14,19
1,21,15,13,3
1,21,16,12,2
1,22,9,18,2
1,22,10,17,5
1,22,11,16,2
1,22,12,15,8
1,22,13,14,6
1,22,14,13,2
1,23,12,14,1
2,11,15,22,1
2,11,16,21,1
2,11,18,19,2
2,12,12,24,1
2,12,13,23,1
2,12,14,22,1
2,12,15,21,2
2,12,16,20,2
2,12,17,19,2
2,12,18,18,3
2,12,19,17,3
2,12,20,16,1
2,13,13,22,4
2,13,14,21,6
2,13,15,20,19
2,13,16,19,15
2,13,17,18,13
2,13,18,17,8
2,13,19,16,5
2,13,20,15,4
2,13,21,14,3
2,13,22,13,1
2,14,11,23,1
2,14,12,22,4
2,14,13,21,14
2,14,14,20,30
2,14,15,19,42
2,14,16,18,43
2,14,17,17,50
2,14,18,16,20
2,14,19,15,5
2,14,20,14,2
2,14,22,12,1
2,15,10,23,2
2,15,11,22,5
2,15,12,21,23
2,15,13,20,39
2,15,14,19,82
2,15,15,18,93
2,15,16,17,92
2,15,17,16,59
2,15,18,15,34
2,15,19,14,6
2,15,20,13,1
2,16,10,22,3
2,16,11,21,15
2,16,12,20,37
2,16,13,19,90
2,16,14,18,136
2,16,15,17,140
2,16,16,16,102
2,16,17,15,53
2,16,18,14,19
2,16,19,13,5
2,16,20,12,1
2,17,9,22,1
2,17,10,21,7
2,17,11,20,25
2,17,12,19,64
2,17,13,18,115
2,17,14,17,146
2,17,15,16,92
2,17,16,15,52
2,17,17,14,35
2,17,18,13,5
2,17,19,12,3
2,18,9,21,3
2,18,10,20,10
2,18,11,19,26
2,18,12,18,75
2,18,13,17,75
2,18,14,16,93
2,18,15,15,35
2,18,16,14,32
2,18,17,13,6
2,18,18,12,2
2,19,8,21,1
2,19,9,20,2
2,19,10,19,7
2,19,11,18,22
2,19,12,17,42
2,19,13,16,30
2,19,14,15,28
2,19,15,14,13
2,19,16,13,6
2,19,17,12,1
2,20,8,20,1
2,20,10,18,11
2,20,11,17,7
2,20,12,16,7
2,20,13,15,9
2,20,14,14,7
2,20,15,13,2
2,20,16,12,1
2,21,10,17,3
2,21,11,16,1
2,21,12,15,3
2,21,13,14,1
3,11,21,15,1
3,13,12,22,1
3,13,13,21,1
3,13,16,18,2
3,13,17,17,1
3,13,18,16,2
3,13,20,14,1
3,14,11,22,1
3,14,13,20,2
3,14,14,19,2
3,14,15,18,3
3,14,16,17,4
3,14,17,16,2
3,14,18,15,4
3,14,19,14,2
3,15,11,21,1
3,15,12,20,1
3,15,13,19,8
3,15,14,18,10
3,15,15,17,8
3,15,16,16,3
3,15,17,15,5
3,15,18,14,1
3,16,9,22,1
3,16,10,21,2
3,16,11,20,3
3,16,12,19,5
3,16,13,18,8
3,16,14,17,3
3,16,15,16,11
3,16,16,15,12
3,16,17,14,1
3,17,9,21,1
3,17,11,19,1
3,17,12,18,4
3,17,13,17,11
3,17,14,16,12
3,17,15,15,5
3,17,16,14,1
3,18,10,19,1
3,18,11,18,3
3,18,12,17,5
3,18,13,16,6
3,18,14,15,3
3,18,15,14,1
3,18,16,13,1
3,19,9,19,1
3,19,11,17,2
3,19,12,16,1
3,19,13,15,1
3,19,14,14,1
3,20,10,17,2
3,20,11,16,1
3,20,16,11,1
4,13,19,14,1
4,15,15,16,1
4,15,16,15,1
4,16,13,17,2
4,17,13,16,1
5,18,11,16,1
