,50x1_1M_0,50x1_2M_0,50x1_2M_1,50x1_2M_2,50x1_1P_0,50x1_1P_1,50x1_1P_2,50x1_2P_0,50x1_2P_1,50x1_3P_0,50x1_3P_1,10x5_1M_0,10x5_1M_1,10x5_2M_0,10x5_2M_1,10x5_3M_0,10x5_3M_1,10x5_1P_0,10x5_1P_1,10x5_2P_0,10x5_2P_1,10x5_3P_0,10x5_3P_1,10x5_4P_0,10x5_4P_1,10x3_1M_0,10x3_1M_1,10x3_2M_0,10x3_2M_1,10x3_1P_0,10x3_1P_1,10x3_2P_0,10x3_2P_1,10x3_3P_0,10x3_3P_1,10x3_CA_1M_0,10x3_CA_1M_1,10x3_CA_2M_0,10x3_CA_2M_1,10x3_CA_1P_0,10x3_CA_1P_1,10x3_CA_2P_0,10x3_CA_2P_1,10x3_CA_3P_0,10x3_CA_3P_1,10x5_CA_1M_0,10x5_CA_1M_1,10x5_CA_2M_0,10x5_CA_2M_1,10x5_CA_3M_0,10x5_CA_3M_1,10x5_CA_1P_0,10x5_CA_1P_1,10x5_CA_2P_0,10x5_CA_2P_1,10x5_CA_3P_0,10x5_CA_3P_1,10x5_CA_4P_0,10x5_CA_4P_1
A,1.0207043999999998,0.7586906,1.1344985999999997,0.7531806000000001,0.8920583999999999,0.8905023999999999,0.7707584000000001,0.6858162000000001,0.8310971999999998,0.8329961999999999,0.8291982000000001,0.28340220000000005,0.2246472,0.20353720000000003,0.20410219999999996,0.2641932,0.26278920000000006,0.26382120000000003,0.26376120000000003,0.23429300000000003,0.234336,0.2657142,0.24864120000000003,0.26360120000000004,0.26327320000000004,0.092196,0.15453300000000003,0.14721900000000002,0.05574699999999999,0.096717,0.12023400000000002,0.121146,0.08181999999999998,0.10148299999999999,0.10148299999999999,0.07310710000000001,0.0836401,0.14814,0.03977700000000001,0.09345590000000001,0.0959689,0.10887050000000001,0.0790465,0.0939585,0.0939585,0.13417600000000002,0.12364300000000003,0.0540475,0.0540475,0.130665,0.130665,0.130665,0.130665,0.11555400000000002,0.11555400000000002,0.13172250000000002,0.12220500000000001,0.130665,0.130665
B,15.060933800000004,15.645109399999996,15.599102399999998,15.536655399999995,15.628267800000003,15.629163800000004,15.534735800000007,15.623709000000005,15.581681000000003,15.575708000000004,15.58765400000001,16.471840500000003,16.9372905,16.5653886,16.537022099999998,16.628404500000002,16.703995499999998,16.626992,16.626971,16.614968900000004,16.6147254,16.616394,16.7117625,16.624308,16.622207,10.242100999999998,9.747917,10.294583000000001,10.2677555,10.2529572,10.2829922,10.2331705,10.2729575,10.259093300000002,10.2583868,10.7666097,10.236260699999997,10.808507899999999,10.777081400000002,10.756995499999999,10.847743500000002,10.780471900000004,10.7930369,10.776782100000002,10.769786100000001,16.867216100000007,17.363527100000006,16.997871800000006,16.975508800000007,17.027130100000004,17.0900491,17.032653100000005,17.032653100000005,16.992353800000004,16.9873933,17.019398600000002,17.1386891,17.0325586,17.0325016
H,14.984871200000002,14.4452746,14.048804599999997,14.3612846,14.409251400000004,14.4155924,14.236183400000002,14.452850600000005,14.323985600000002,14.316234600000003,14.331736600000003,14.951560800000003,14.6006898,14.979610700000004,15.042832200000005,14.799882799999999,14.829146300000005,14.834584799999998,14.834584799999998,14.9117591,14.945282100000002,14.8210588,14.942963800000001,14.830467800000001,14.828153799999999,8.9436584,9.298969399999999,8.7544095,8.963181,8.942538599999999,8.8263786,8.8895075,8.973256499999998,8.923569,8.943324,8.911905599999999,9.2889426,8.737090499999999,8.9243265,8.906829599999998,8.730560599999999,8.830714500000001,8.9271555,8.8838568,8.899072799999999,15.142235399999997,14.6762964,15.084751399999996,15.118411399999998,14.9669654,14.974637899999998,14.986922399999997,14.986922399999997,15.081801000000004,15.131684500000002,14.971111399999996,15.1134104,14.986845899999999,14.986788899999999
W,18.933490600000003,19.1509254,19.217594399999996,19.3488794,19.0704224,19.0647414,19.4583224,19.2376242,19.2632362,19.275061200000003,19.251411200000003,18.2931965,18.2373725,18.2514635,18.216043499999998,18.3075195,18.204068999999997,18.274602,18.274683,18.238979,18.205656499999996,18.296833,18.096632500000002,18.281623,18.262825999999997,10.7220446,10.798580599999998,10.803788499999998,10.713316500000001,10.7077872,10.7703952,10.756176000000002,10.671966,10.715854700000001,10.696806200000001,10.248377600000001,10.3911566,10.306261600000003,10.258815100000003,10.242719000000003,10.325727,10.279943100000002,10.200761100000001,10.245402600000002,10.2371826,17.8563725,17.836533499999998,17.8633293,17.852032299999998,17.8752395,17.804648,17.8497595,17.8497595,17.810291199999998,17.765368199999998,17.877767499999997,17.6256955,17.8499305,17.8494745
