Asian,Black,Hispanic,White,0
0,10,16,24,1
0,10,17,23,3
0,10,18,22,2
0,10,19,21,1
0,10,20,20,2
0,11,13,26,1
0,11,14,25,1
0,11,15,24,6
0,11,16,23,11
0,11,17,22,14
0,11,18,21,18
0,11,19,20,13
0,11,20,19,11
0,11,22,17,1
0,12,12,26,1
0,12,13,25,10
0,12,14,24,33
0,12,15,23,54
0,12,16,22,109
0,12,17,21,119
0,12,18,20,87
0,12,19,19,56
0,12,20,18,18
0,12,21,17,3
0,12,22,16,3
0,13,11,26,5
0,13,12,25,23
0,13,13,24,85
0,13,14,23,208
0,13,15,22,394
0,13,16,21,512
0,13,17,20,435
0,13,18,19,261
0,13,19,18,119
0,13,20,17,36
0,13,21,16,6
0,13,22,15,4
0,13,23,14,1
0,14,9,27,1
0,14,10,26,4
0,14,11,25,48
0,14,12,24,152
0,14,13,23,368
0,14,14,22,872
0,14,15,21,1246
0,14,16,20,1315
0,14,17,19,990
0,14,18,18,517
0,14,19,17,183
0,14,20,16,42
0,14,21,15,10
0,14,22,14,2
0,15,9,26,3
0,15,10,25,31
0,15,11,24,146
0,15,12,23,462
0,15,13,22,1168
0,15,14,21,1860
0,15,15,20,2224
0,15,16,19,1948
0,15,17,18,1130
0,15,18,17,458
0,15,19,16,122
0,15,20,15,22
0,15,21,14,3
0,16,7,27,1
0,16,8,26,1
0,16,9,25,14
0,16,10,24,88
0,16,11,23,304
0,16,12,22,883
0,16,13,21,1659
0,16,14,20,2336
0,16,15,19,2239
0,16,16,18,1491
0,16,17,17,664
0,16,18,16,215
0,16,19,15,47
0,16,20,14,9
0,16,21,13,1
0,17,8,25,2
0,17,9,24,15
0,17,10,23,103
0,17,11,22,395
0,17,12,21,973
0,17,13,20,1497
0,17,14,19,1599
0,17,15,18,1198
0,17,16,17,677
0,17,17,16,261
0,17,18,15,66
0,17,19,14,16
0,17,20,13,1
0,18,7,25,1
0,18,8,24,6
0,18,9,23,33
0,18,10,22,138
0,18,11,21,292
0,18,12,20,604
0,18,13,19,753
0,18,14,18,679
0,18,15,17,362
0,18,16,16,168
0,18,17,15,56
0,18,18,14,16
0,19,7,24,2
0,19,8,23,2
0,19,9,22,16
0,19,10,21,49
0,19,11,20,143
0,19,12,19,238
0,19,13,18,255
0,19,14,17,175
0,19,15,16,73
0,19,16,15,29
0,19,17,14,9
0,19,18,13,3
0,20,7,23,1
0,20,8,22,1
0,20,9,21,7
0,20,10,20,25
0,20,11,19,43
0,20,12,18,62
0,20,13,17,51
0,20,14,16,24
0,20,15,15,11
0,20,16,14,1
0,20,17,13,2
0,21,7,22,1
0,21,8,21,3
0,21,10,19,3
0,21,11,18,8
0,21,12,17,8
0,21,13,16,3
0,21,14,15,1
0,22,11,17,1
0,23,12,15,1
1,9,17,23,1
1,10,14,25,1
1,10,17,22,4
1,10,18,21,2
1,10,19,20,3
1,10,20,19,1
1,11,12,26,1
1,11,13,25,3
1,11,14,24,7
1,11,15,23,10
1,11,16,22,18
1,11,17,21,20
1,11,18,20,19
1,11,19,19,16
1,11,20,18,9
1,11,23,15,1
1,12,12,25,6
1,12,13,24,16
1,12,14,23,58
1,12,15,22,103
1,12,16,21,159
1,12,17,20,134
1,12,18,19,113
1,12,19,18,51
1,12,20,17,19
1,12,21,16,4
1,13,10,26,2
1,13,11,25,7
1,13,12,24,31
1,13,13,23,137
1,13,14,22,311
1,13,15,21,567
1,13,16,20,647
1,13,17,19,506
1,13,18,18,282
1,13,19,17,110
1,13,20,16,27
1,13,21,15,6
1,14,9,26,1
1,14,10,25,10
1,14,11,24,52
1,14,12,23,265
1,14,13,22,681
1,14,14,21,1170
1,14,15,20,1621
1,14,16,19,1470
1,14,17,18,918
1,14,18,17,415
1,14,19,16,114
1,14,20,15,24
1,14,21,14,4
1,14,22,13,1
1,15,9,25,11
1,15,10,24,51
1,15,11,23,231
1,15,12,22,743
1,15,13,21,1579
1,15,14,20,2461
1,15,15,19,2587
1,15,16,18,1779
1,15,17,17,843
1,15,18,16,281
1,15,19,15,84
1,15,20,14,7
1,15,21,13,5
1,16,8,25,3
1,16,9,24,20
1,16,10,23,110
1,16,11,22,486
1,16,12,21,1249
1,16,13,20,2118
1,16,14,19,2518
1,16,15,18,2047
1,16,16,17,1106
1,16,17,16,437
1,16,18,15,123
1,16,19,14,31
1,16,20,13,2
1,17,7,25,2
1,17,8,24,10
1,17,9,23,40
1,17,10,22,196
1,17,11,21,579
1,17,12,20,1158
1,17,13,19,1575
1,17,14,18,1598
1,17,15,17,985
1,17,16,16,420
1,17,17,15,156
1,17,18,14,32
1,17,19,13,3
1,17,20,12,2
1,18,7,24,1
1,18,8,23,7
1,18,9,22,36
1,18,10,21,158
1,18,11,20,411
1,18,12,19,651
1,18,13,18,742
1,18,14,17,568
1,18,15,16,301
1,18,16,15,112
1,18,17,14,19
1,18,18,13,6
1,18,19,12,1
1,19,7,23,1
1,19,8,22,5
1,19,9,21,44
1,19,10,20,90
1,19,11,19,154
1,19,12,18,265
1,19,13,17,210
1,19,14,16,126
1,19,15,15,47
1,19,16,14,16
1,19,17,13,3
1,20,7,22,1
1,20,9,20,9
1,20,10,19,30
1,20,11,18,51
1,20,12,17,52
1,20,13,16,36
1,20,14,15,14
1,20,15,14,4
1,20,16,13,5
1,21,8,20,1
1,21,9,19,3
1,21,10,18,4
1,21,11,17,7
1,21,12,16,4
1,21,13,15,2
1,21,15,13,1
1,22,8,19,1
1,22,9,18,1
1,22,10,17,3
1,22,11,16,2
1,22,12,15,2
2,9,19,20,1
2,10,15,23,3
2,10,17,21,2
2,10,18,20,2
2,11,13,24,1
2,11,14,23,5
2,11,15,22,5
2,11,16,21,11
2,11,17,20,11
2,11,18,19,11
2,11,19,18,2
2,11,20,17,2
2,11,21,16,2
2,12,11,25,1
2,12,12,24,4
2,12,13,23,14
2,12,14,22,38
2,12,15,21,59
2,12,16,20,59
2,12,17,19,52
2,12,18,18,28
2,12,19,17,15
2,12,20,16,3
2,12,21,15,1
2,13,11,24,7
2,13,12,23,27
2,13,13,22,91
2,13,14,21,174
2,13,15,20,283
2,13,16,19,264
2,13,17,18,177
2,13,18,17,92
2,13,19,16,35
2,13,20,15,6
2,14,10,24,7
2,14,11,23,39
2,14,12,22,148
2,14,13,21,322
2,14,14,20,572
2,14,15,19,586
2,14,16,18,502
2,14,17,17,303
2,14,18,16,119
2,14,19,15,29
2,14,20,14,3
2,15,8,25,1
2,15,9,24,4
2,15,10,23,36
2,15,11,22,139
2,15,12,21,357
2,15,13,20,726
2,15,14,19,922
2,15,15,18,900
2,15,16,17,511
2,15,17,16,237
2,15,18,15,65
2,15,19,14,11
2,15,20,13,3
2,16,8,24,1
2,16,9,23,15
2,16,10,22,73
2,16,11,21,270
2,16,12,20,581
2,16,13,19,879
2,16,14,18,937
2,16,15,17,614
2,16,16,16,300
2,16,17,15,115
2,16,18,14,24
2,16,19,13,7
2,17,8,23,4
2,17,9,22,18
2,17,10,21,101
2,17,11,20,273
2,17,12,19,491
2,17,13,18,583
2,17,14,17,485
2,17,15,16,307
2,17,16,15,102
2,17,17,14,28
2,17,18,13,3
2,18,6,24,1
2,18,8,22,5
2,18,9,21,26
2,18,10,20,65
2,18,11,19,185
2,18,12,18,229
2,18,13,17,253
2,18,14,16,167
2,18,15,15,78
2,18,16,14,22
2,18,17,13,8
2,18,18,12,1
2,19,8,21,1
2,19,9,20,11
2,19,10,19,38
2,19,11,18,59
2,19,12,17,94
2,19,13,16,63
2,19,14,15,25
2,19,15,14,10
2,19,16,13,4
2,19,17,12,1
2,20,9,19,7
2,20,10,18,10
2,20,11,17,18
2,20,12,16,19
2,20,13,15,15
2,20,14,14,4
2,21,9,18,1
2,21,10,17,4
2,21,11,16,3
2,21,12,15,1
2,21,13,14,2
3,10,18,19,1
3,10,19,18,1
3,11,14,22,1
3,11,15,21,2
3,11,16,20,4
3,11,17,19,2
3,11,18,18,4
3,12,12,23,1
3,12,13,22,4
3,12,14,21,8
3,12,15,20,10
3,12,16,19,16
3,12,17,18,15
3,12,18,17,3
3,12,19,16,5
3,12,20,15,2
3,12,21,14,1
3,13,11,23,1
3,13,12,22,10
3,13,13,21,20
3,13,14,20,38
3,13,15,19,48
3,13,16,18,45
3,13,17,17,34
3,13,18,16,10
3,13,19,15,6
3,14,10,23,4
3,14,11,22,18
3,14,12,21,29
3,14,13,20,76
3,14,14,19,135
3,14,15,18,108
3,14,16,17,72
3,14,17,16,31
3,14,18,15,13
3,14,19,14,5
3,15,8,24,1
3,15,9,23,2
3,15,10,22,6
3,15,11,21,30
3,15,12,20,94
3,15,13,19,152
3,15,14,18,197
3,15,15,17,138
3,15,16,16,67
3,15,17,15,22
3,15,18,14,10
3,16,8,23,1
3,16,9,22,3
3,16,10,21,24
3,16,11,20,60
3,16,12,19,125
3,16,13,18,173
3,16,14,17,158
3,16,15,16,88
3,16,16,15,42
3,16,17,14,11
3,16,18,13,2
3,17,9,21,6
3,17,10,20,28
3,17,11,19,58
3,17,12,18,89
3,17,13,17,89
3,17,14,16,71
3,17,15,15,32
3,17,16,14,17
3,17,17,13,3
3,17,18,12,1
3,18,9,20,5
3,18,10,19,16
3,18,11,18,32
3,18,12,17,43
3,18,13,16,37
3,18,14,15,27
3,18,15,14,8
3,18,16,13,2
3,19,8,20,1
3,19,9,19,5
3,19,10,18,8
3,19,11,17,13
3,19,12,16,13
3,19,13,15,10
3,19,14,14,3
3,19,15,13,1
3,20,9,18,1
3,20,10,17,2
3,20,11,16,4
3,20,12,15,1
3,20,13,14,1
3,21,10,16,1
3,21,11,15,1
3,21,12,14,2
