,50x1,10x5,10x5_CA,10x3,10x3_CA
A,0.8310971999999998,0.26381720000000003,0.130665,0.10148299999999999,0.0939585
B,15.581681000000003,16.6269905,17.032653100000005,10.259462000000001,10.7741039
H,14.323985600000002,14.834603800000002,14.986922399999997,8.931354,8.889734999999998
W,19.2632362,18.2745885,17.8497595,10.707700999999998,10.2422026
