,Asian,Black,Hispanic,White
278,0,19,14,17
279,0,18,17,15
280,1,19,15,15
281,0,17,17,16
282,0,13,19,18
283,0,19,14,17
284,1,19,12,18
285,0,16,16,18
286,0,15,15,20
287,0,17,15,18
288,0,19,16,15
289,0,17,15,18
290,0,21,16,13
291,1,18,16,15
292,0,20,15,15
293,0,17,15,18
294,0,18,16,16
295,0,18,17,15
296,1,16,17,16
297,0,16,16,18
298,0,14,18,18
299,0,18,18,14
300,0,17,16,17
301,1,15,17,17
302,0,15,14,21
303,0,15,14,21
304,0,15,17,18
305,0,16,16,18
306,0,19,16,15
307,0,12,16,22
308,0,17,15,18
309,0,14,12,24
310,0,18,13,19
311,0,16,16,18
312,0,16,18,16
313,0,13,16,21
314,0,19,13,18
315,0,18,18,14
316,0,19,15,16
317,0,16,12,22
318,0,19,15,16
319,0,18,17,15
320,0,14,20,16
321,0,16,16,18
322,0,15,17,18
323,0,18,13,19
324,0,14,15,21
325,0,15,20,15
326,0,17,17,16
327,1,18,14,17
328,0,18,18,14
329,0,17,16,17
330,1,18,15,16
331,0,16,17,17
332,0,16,15,19
333,0,17,15,18
334,1,15,16,18
335,0,19,13,18
336,0,17,14,19
337,1,16,14,19
338,1,16,14,19
339,0,16,17,17
340,2,14,14,20
341,0,18,14,18
342,0,17,16,17
343,1,19,15,15
344,1,15,18,16
345,1,15,18,16
346,0,16,18,16
347,0,15,16,19
348,1,15,16,18
349,0,19,15,16
350,0,18,18,14
351,0,15,18,17
352,0,20,16,14
353,0,15,16,19
354,0,17,16,17
355,1,17,14,18
356,0,14,21,15
357,0,21,15,14
358,1,19,16,14
359,0,20,16,14
360,0,17,14,19
361,0,14,16,20
362,1,15,14,20
363,1,17,15,17
364,1,19,16,14
365,1,15,17,17
366,0,15,17,18
367,0,18,17,15
368,0,16,21,13
369,1,17,14,18
370,1,15,18,16
371,0,17,16,17
372,0,15,18,17
373,0,15,15,20
374,0,14,17,19
375,0,17,17,16
376,0,15,17,18
377,1,16,16,17
378,0,14,16,20
379,0,19,14,17
380,0,21,14,15
381,1,14,13,22
382,0,18,13,19
383,0,15,18,17
384,0,15,19,16
385,0,17,16,17
386,0,19,16,15
387,0,17,17,16
388,1,16,13,20
389,0,17,16,17
390,0,18,14,18
