,Asian,Black,Hispanic,White
0,0,15,19,16
1,0,15,18,17
2,0,17,16,17
3,0,19,13,18
4,0,13,20,17
5,0,17,16,17
6,0,17,16,17
7,0,16,16,18
8,0,17,13,20
9,0,17,14,19
10,0,14,15,21
11,0,14,14,22
12,0,17,13,20
13,0,17,11,22
14,0,15,13,22
15,0,18,12,20
16,0,17,16,17
17,0,16,16,18
18,0,15,14,21
19,0,20,13,17
20,0,18,15,17
21,0,18,15,17
22,0,16,16,18
23,0,19,11,20
24,1,17,15,17
25,0,18,15,17
26,0,15,18,17
27,0,13,16,21
28,0,16,16,18
29,1,19,12,18
30,0,16,16,18
31,0,18,13,19
32,0,15,17,18
33,0,18,14,18
34,0,18,14,18
35,0,15,19,16
36,0,14,18,18
37,0,14,16,20
38,0,15,17,18
39,1,16,15,18
40,0,13,18,19
41,0,16,16,18
42,0,17,14,19
43,1,17,16,16
44,1,18,12,19
45,0,17,13,20
46,0,17,15,18
47,0,17,15,18
48,0,19,12,19
49,0,19,12,19
50,0,18,15,17
51,0,17,14,19
52,1,15,15,19
53,0,16,15,19
54,1,17,15,17
55,0,18,15,17
56,1,16,16,17
57,0,16,16,18
58,1,16,15,18
59,0,17,17,16
60,0,15,18,17
61,0,14,16,20
62,0,16,17,17
63,1,15,19,15
64,0,16,18,16
65,1,18,15,16
66,0,16,14,20
67,0,17,17,16
68,0,18,11,21
69,0,14,17,19
70,0,16,14,20
71,0,20,11,19
72,0,18,12,20
73,0,19,13,18
74,0,17,12,21
75,0,17,16,17
76,0,18,13,19
77,0,14,15,21
78,0,19,14,17
79,0,19,13,18
80,0,16,16,18
81,0,18,13,19
82,0,16,14,20
83,0,18,15,17
84,0,17,16,17
85,0,17,17,16
86,0,16,16,18
87,0,16,11,23
88,0,15,13,22
89,0,17,16,17
90,0,17,14,19
91,0,17,11,22
92,0,16,17,17
93,0,15,14,21
94,0,19,11,20
95,0,19,15,16
96,0,19,14,17
97,0,16,13,21
98,1,16,15,18
99,0,18,13,19
100,0,19,12,19
101,0,19,14,17
102,0,16,12,22
103,1,17,12,20
104,0,16,16,18
105,0,18,13,19
106,0,16,15,19
107,0,16,17,17
108,0,20,12,18
109,0,16,16,18
110,0,18,15,17
111,0,18,13,19
112,0,17,14,19
113,0,16,16,18
114,0,18,13,19
115,0,19,14,17
116,0,18,16,16
117,0,16,15,19
118,0,17,15,18
119,0,16,13,21
120,0,14,17,19
121,0,17,11,22
122,0,18,10,22
123,1,17,12,20
124,0,16,17,17
125,0,20,13,17
126,0,16,13,21
127,0,17,14,19
128,1,19,12,18
129,0,16,13,21
130,1,17,13,19
131,0,19,13,18
132,0,20,13,17
133,0,18,14,18
134,0,16,16,18
135,0,20,11,19
136,0,16,16,18
137,0,21,12,17
138,1,15,15,19
139,0,15,17,18
140,0,17,16,17
141,0,16,17,17
142,0,16,16,18
143,0,19,13,18
144,0,18,10,22
145,0,16,15,19
146,0,15,14,21
147,0,18,14,18
148,0,16,13,21
149,0,17,12,21
150,0,17,15,18
151,0,18,16,16
152,0,16,16,18
