Precinct,Winner_1,Winner_2,Winner_3
000101,"Siddiqui, Sumbul","Simmons, E. Denise","Toomey, Jr., Timothy J."
000102,"Siddiqui, Sumbul","Simmons, E. Denise","Toomey, Jr., Timothy J."
000103,"Siddiqui, Sumbul","Simmons, E. Denise","Toomey, Jr., Timothy J."
000201,"Harding, Jr., Richard","Simmons, E. Denise","Siddiqui, Sumbul"
000202,"Okamoto, Nadya T.","Simmons, E. Denise","Zondervan, Quinton Y."
000203,"McGovern, Marc C.","Simmons, E. Denise","Okamoto, Nadya T."
000301,"Zondervan, Quinton Y.","Simmons, E. Denise","Toomey, Jr., Timothy J."
000302,"Siddiqui, Sumbul","Zondervan, Quinton Y.","Simmons, E. Denise"
000303,"McGovern, Marc C.","Zondervan, Quinton Y.","Simmons, E. Denise"
000304,"Siddiqui, Sumbul","Simmons, E. Denise","Toomey, Jr., Timothy J."
000401,"Siddiqui, Sumbul","McGovern, Marc C.","Simmons, E. Denise"
000402,"Siddiqui, Sumbul","McGovern, Marc C.","Simmons, E. Denise"
000403,"Siddiqui, Sumbul","McGovern, Marc C.","Simmons, E. Denise"
000501,"Siddiqui, Sumbul","McGovern, Marc C.","Simmons, E. Denise"
000502,"Gebru, Samuel","Simmons, E. Denise","Siddiqui, Sumbul"
000503,"Siddiqui, Sumbul","McGovern, Marc C.","Simmons, E. Denise"
000601,"Siddiqui, Sumbul","Zondervan, Quinton Y.","Simmons, E. Denise"
000602,"Siddiqui, Sumbul","McGovern, Marc C.","Simmons, E. Denise"
000603,"Siddiqui, Sumbul","Mallon, Alana M.","Simmons, E. Denise"
000701,"Siddiqui, Sumbul","McGovern, Marc C.","Devereux, Jan"
000702,"Siddiqui, Sumbul","McGovern, Marc C.","Simmons, E. Denise"
000703,"Siddiqui, Sumbul","McGovern, Marc C.","Devereux, Jan"
000801,"Siddiqui, Sumbul","Devereux, Jan","Simmons, E. Denise"
000802,"Simmons, E. Denise","Devereux, Jan","Carlone, Dennis J."
000803,"Siddiqui, Sumbul","Okamoto, Nadya T.","Simmons, E. Denise"
000901,"Siddiqui, Sumbul","McGovern, Marc C.","Devereux, Jan"
000902,"Siddiqui, Sumbul","Devereux, Jan","Tierney, Sean"
000903,"Mallon, Alana M.","Devereux, Jan","Simmons, E. Denise"
001001,"Siddiqui, Sumbul","Simmons, E. Denise","Kelley, Craig A."
001002,"Mallon, Alana M.","Devereux, Jan","Carlone, Dennis J."
001003,"Siddiqui, Sumbul","Devereux, Jan","Simmons, E. Denise"
001101,"Gebru, Samuel","Simmons, E. Denise","Siddiqui, Sumbul"
001102,"Siddiqui, Sumbul","Simmons, E. Denise","Kelley, Craig A."
001103,"Siddiqui, Sumbul","Toner, Paul F.","Simmons, E. Denise"
