Precinct,Winner_1,Winner_2,Winner_3
000101,C04,C19,C20
000102,C12,C04,C20
000103,C04,C19,C20
000201,C19,C14,C01
000202,C10,C06,C14
000203,C20,C03,C14
000301,C19,C20,C14
000302,C04,C19,C14
000303,C19,C14,C21
000304,C19,C20,C14
000401,C19,C14,C01
000402,C19,C15,C14
000403,C19,C01,C14
000501,C19,C15,C14
000502,C19,C15,C14
000503,C15,C14,C01
000601,C04,C03,C14
000602,C15,C03,C14
000603,C12,C06,C21
000701,C15,C14,C10
000702,C02,C19,C03
000703,C02,C06,C03
000801,C02,C03,C14
000802,C19,C08,C03
000803,C19,C03,C14
000901,C12,C15,C08
000902,C12,C08,C03
000903,C12,C08,C03
001001,C14,C03,C10
001002,C02,C03,C10
001003,C19,C08,C03
001101,C12,C19,C14
001102,C12,C14,C10
001103,C12,C19,C10
