Precinct,Winner_1,Winner_2,Winner_3
000101,C17,C18,C05
000102,C17,C18,C05
000103,C17,C18,C05
000201,C17,C16,C14
000202,C06,C03,C10
000203,C13,C17,C06
000301,C17,C18,C05
000302,C04,C16,C18
000303,C04,C16,C14
000401,C16,C01,C14
000402,C16,C03,C14
000403,C17,C04,C14
000501,C04,C16,C14
000502,C04,C16,C14
000503,C04,C16,C03
000601,C17,C15,C04
000602,C04,C17,C03
000603,C17,C15,C03
000701,C13,C04,C03
000702,C13,C15,C03
000703,C13,C03,C14
000801,C13,C04,C03
000802,C13,C04,C03
000803,C13,C04,C16
000901,C13,C12,C03
000902,C12,C03,C05
000903,C17,C03,C05
001001,C05,C03,C10
001002,C13,C04,C05
001003,C04,C16,C05
001101,C17,C05,C14
001102,C17,C05,C10
001103,C12,C05,C10
