Precinct,Winner_1,Winner_2,Winner_3
000101,C15,C05,C01
000102,C15,C05,C01
000103,C13,C15,C05
000201,C13,C17,C11
000202,C17,C07,C01
000203,C02,C13,C01
000301,C13,C15,C01
000302,C13,C15,C01
000303,C13,C17,C16
000401,C13,C11,C01
000402,C13,C16,C01
000403,C17,C11,C03
000501,C13,C02,C01
000502,C02,C13,C03
000503,C13,C02,C01
000601,C12,C16,C01
000602,C02,C11,C01
000603,C12,C06,C01
000701,C02,C04,C01
000702,C02,C16,C01
000703,C02,C13,C01
000801,C02,C12,C01
000802,C02,C05,C01
000803,C02,C04,C01
000901,C02,C05,C01
000902,C02,C05,C01
000903,C02,C05,C01
001001,C04,C03,C01
001002,C02,C03,C01
001003,C13,C11,C01
001101,C13,C03,C11
001102,C04,C05,C01
001103,C04,C05,C01
