Precinct,Winner_1,Winner_2,Winner_3
000101,C06,C18,C20
000102,C06,C18,C20
000103,C06,C18,C20
000201,C16,C15,C18
000202,C13,C17,C03
000203,C13,C17,C03
000301,C06,C18,C20
000302,C16,C06,C20
000303,C04,C15,C03
000401,C04,C16,C15
000402,C02,C15,C06
000403,C13,C15,C18
000501,C04,C16,C18
000502,C02,C04,C16
000503,C02,C04,C06
000601,C02,C06,C14
000602,C02,C06,C14
000603,C02,C06,C14
000701,C13,C06,C02
000702,C13,C06,C02
000703,C02,C06,C13
000801,C13,C06,C02
000802,C13,C06,C02
000803,C13,C04,C03
000901,C02,C12,C13
000902,C02,C12,C06
000903,C02,C06,C18
001001,C02,C06,C09
001002,C13,C04,C06
001003,C02,C15,C06
001101,C15,C06,C18
001102,C09,C06,C18
001103,C12,C06,C09
