,ID,1stChoice,2nd Choice,3rd Choice,4th Choice,5th Choice ,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice
81,000101-00-0160,C18,C17,C12,,,,,,,,,,,,,,,
82,000101-00-0162,C18,C05,C12,C17,,,,,,,,,,,,,,
83,000101-00-0164,C17,C18,C05,C12,C14,C13,C04,C03,C16,,,,,,,,,
84,000101-00-0167,C18,C06,C03,C04,C14,,,,,,,,,,,,,
85,000101-00-0168,C18,,,,,,,,,,,,,,,,,
86,000101-00-0170,C17,C01,C12,C18,C10,C09,C08,C07,C06,C02,C15,C11,C13,C14,C16,C03,C04,C05
87,000101-00-0172,C03,C16,C13,C12,C15,C17,C05,C02,C14,,,,,,,,,
88,000101-00-0175,C17,,,,,,,,,,,,,,,,,
89,000101-00-0176,C17,,,,,,,,,,,,,,,,,
90,000101-00-0178,C10,C09,C08,C06,C15,C11,C02,,,,,,,,,,,
91,000101-00-0181,C18,C17,C12,C05,C14,,,,,,,,,,,,,
92,000101-00-0182,C03,C04,C05,C12,C13,C17,,,,,,,,,,,,
93,000101-00-0185,C18,C12,,,,,,,,,,,,,,,,
94,000101-00-0186,C18,,,,,,,,,,,,,,,,,
95,000101-00-0188,C18,,,,,,,,,,,,,,,,,
96,000101-00-0190,C12,C17,C03,,,,,,,,,,,,,,,
97,000101-00-0193,C17,,,,,,,,,,,,,,,,,
98,000101-00-0195,C18,C17,C16,C14,C12,C13,C04,C03,C02,,,,,,,,,
99,000101-00-0197,C12,C07,C03,C09,C18,C17,C16,C14,C04,C05,,,,,,,,
100,000101-00-0199,C18,C17,C05,C12,C16,C13,C02,C03=C14,,,,,,,,,,
101,000101-00-0202,C17,C01,C12,,,,,,,,,,,,,,,
102,000101-00-0204,C17,C01,,,,,,,,,,,,,,,,
103,000101-00-0205,C18,C17,C14,C05,C16,C03,C04,C06,,,,,,,,,,
104,000101-00-0207,C18,C17,C10,C07,C13,,,,,,,,,,,,,
105,000101-00-0210,C18,C17,C05,C13,C01,,,,,,,,,,,,,
106,000101-00-0212,C18,,,,,,,,,,,,,,,,,
107,000101-00-0214,C18,,,,,,,,,,,,,,,,,
108,000101-00-0215,C18,C12,C17,,,,,,,,,,,,,,,
109,000101-00-0217,C12,,,,,,,,,,,,,,,,,
110,000101-00-0219,C12,C04,C17,,,,,,,,,,,,,,,
111,000101-00-0220,C07,C09,C10,C18,C02,C12,C08,,,,,,,,,,,
112,000101-00-0224,C18,C17,C05,C04,C12,,,,,,,,,,,,,
113,000101-00-0226,C05,C12,C15,C10,C17,,,,,,,,,,,,,
114,000101-00-0227,C18,C12,,,,,,,,,,,,,,,,
115,000101-00-0229,C03,C05,C10,C18,,,,,,,,,,,,,,
116,000101-00-0230,C18,,,,,,,,,,,,,,,,,
117,000101-00-0232,C18,C17,C12,,,,,,,,,,,,,,,
118,000101-00-0234,C18,C17,C13,,,,,,,,,,,,,,,
119,000101-00-0237,C18,C14,C17,,,,,,,,,,,,,,,
120,000101-00-0238,C18,C17,C14,C15,C05,C04,C12,C16,,,,,,,,,,
121,000101-00-0241,C18,C17,,,,,,,,,,,,,,,,
122,000101-00-0243,C18,C17,,,,,,,,,,,,,,,,
123,000101-00-0245,C18,C17,,,,,,,,,,,,,,,,
124,000101-00-0246,C18,,,,,,,,,,,,,,,,,
125,000101-00-0248,C18,C17,C13,C12,C11,C15,,,,,,,,,,,,
126,000101-00-0250,C18,C17,C12,C03,,,,,,,,,,,,,,
127,000101-00-0252,C18,,,,,,,,,,,,,,,,,
128,000101-00-0255,C18,C17,,,,,,,,,,,,,,,,
129,000101-00-0257,C18,C05,C17,C12,,,,,,,,,,,,,,
130,000101-00-0259,C18,C05,C17,C12,,,,,,,,,,,,,,
131,000101-00-0260,C04,C03,C16,C14,C18,,,,,,,,,,,,,
132,000101-00-0263,C05,C01,C18,,,,,,,,,,,,,,,
133,000101-00-0265,C18,C05,C17,,,,,,,,,,,,,,,
134,000101-00-0267,C07,C18,,,,,,,,,,,,,,,,
135,000101-00-0269,C18,C17,C14,C12,C05,C13,,,,,,,,,,,,
136,000101-00-0271,C17,C18,C14,C12,C04,,,,,,,,,,,,,
137,000101-00-0272,C18,C05,,,,,,,,,,,,,,,,
138,000101-00-0274,C18,C04,,,,,,,,,,,,,,,,
139,000101-00-0278,C18,C05,,,,,,,,,,,,,,,,
140,000101-00-0280,C18,C17,C05,C14,,,,,,,,,,,,,,
141,000101-00-0282,C13,C18,C04,C03,,,,,,,,,,,,,,
