Precinct,Winner_1,Winner_2,Winner_3
MINNEAPOLIS W-1 P-01,Latrisha Vetaw,Devin Hogan,Mike Derus
MINNEAPOLIS W-1 P-02,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-1 P-03,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-1 P-04,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-1 P-05,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-1 P-06,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-1 P-07,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-1 P-08,Latrisha Vetaw,Londel French,Mike Derus
MINNEAPOLIS W-1 P-09,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-1 P-10,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-10 P-01,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-10 P-02,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-10 P-03A,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-10 P-04,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-10 P-05A,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-10 P-06,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-10 P-07,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-10 P-08,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-10 P-09,Latrisha Vetaw,Russ Henry,Londel French
MINNEAPOLIS W-10 P-10,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-11 P-01,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-11 P-02,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-11 P-03,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-11 P-04,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-11 P-05,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-11 P-06,Latrisha Vetaw,Charlie Casserly,Meg Forney
MINNEAPOLIS W-11 P-07,Latrisha Vetaw,Meg Forney,Charlie Casserly
MINNEAPOLIS W-11 P-08,Latrisha Vetaw,Meg Forney,Charlie Casserly
MINNEAPOLIS W-11 P-09,Latrisha Vetaw,Russ Henry,Charlie Casserly
MINNEAPOLIS W-11 P-10,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-12 P-01,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-12 P-02,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-12 P-03,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-12 P-04,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-12 P-05,Latrisha Vetaw,Meg Forney,Charlie Casserly
MINNEAPOLIS W-12 P-06,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-12 P-07,Latrisha Vetaw,Jonathan Honerbrink,Meg Forney
MINNEAPOLIS W-12 P-08,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-12 P-09,Latrisha Vetaw,Russ Henry,Charlie Casserly
MINNEAPOLIS W-12 P-10,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-12 P-11,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-12 P-12,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-12 P-13,Latrisha Vetaw,Meg Forney,Charlie Casserly
MINNEAPOLIS W-13 P-01,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-13 P-02,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-13 P-03,Russ Henry,Mike Derus,Meg Forney
MINNEAPOLIS W-13 P-04,Russ Henry,Meg Forney,Mike Derus
MINNEAPOLIS W-13 P-05,Meg Forney,Mike Derus,Londel French
MINNEAPOLIS W-13 P-06,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-13 P-07,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-13 P-08,Russ Henry,Mike Derus,Meg Forney
MINNEAPOLIS W-13 P-09,Russ Henry,Mike Derus,Meg Forney
MINNEAPOLIS W-13 P-10,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-13 P-11,Russ Henry,Meg Forney,Mike Derus
MINNEAPOLIS W-13 P-12,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-13 P-13,Meg Forney,Mike Derus,Londel French
MINNEAPOLIS W-2 P-01,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-2 P-02,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-2 P-03,Latrisha Vetaw,Russ Henry,Londel French
MINNEAPOLIS W-2 P-04,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-2 P-05,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-2 P-06,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-2 P-07,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-2 P-08,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-2 P-09,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-2 P-10,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-2 P-11,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-3 P-01,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-3 P-02,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-3 P-03,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-3 P-04,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-3 P-05,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-3 P-06,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-3 P-07,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-3 P-08,Russ Henry,Meg Forney,Mike Derus
MINNEAPOLIS W-3 P-09,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-3 P-10,Latrisha Vetaw,Mike Derus,Londel French
MINNEAPOLIS W-3 P-11,Latrisha Vetaw,Russ Henry,Meg Forney
MINNEAPOLIS W-3 P-12,Latrisha Vetaw,Devin Hogan,Meg Forney
MINNEAPOLIS W-4 P-01,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-4 P-02,Latrisha Vetaw,Russ Henry,Mike Derus
MINNEAPOLIS W-4 P-03,Latrisha Vetaw,Mike Derus,Londel French
MINNEAPOLIS W-4 P-04,Latrisha Vetaw,Mike Derus,Meg Forney
MINNEAPOLIS W-4 P-05,Latrisha Vetaw,Mike Derus,Londel French
MINNEAPOLIS W-4 P-06,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-4 P-07,Latrisha Vetaw,Meg Forney,Mike Derus
MINNEAPOLIS W-4 P-08,Latrisha Vetaw,Londel French,Mike Derus
MINNEAPOLIS W-5 P-01,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-5 P-02,Latrisha Vetaw,Londel French,Mike Derus
MINNEAPOLIS W-5 P-03,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-5 P-04,Latrisha Vetaw,Meg Forney,Londel French
MINNEAPOLIS W-5 P-05,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-5 P-07,Latrisha Vetaw,Londel French,Meg Forney
MINNEAPOLIS W-5 P-08,Latrisha Vetaw,Londel French,Meg Forney
