Precinct,Winner_1,Winner_2,Winner_3
MINNEAPOLIS W-1 P-01,Tom Hoch,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-1 P-03,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-1 P-04,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-1 P-05,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-1 P-06,Betsy Hodges,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-1 P-07,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-1 P-08,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-1 P-09,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-1 P-10,Tom Hoch,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-10 P-01,Tom Hoch,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-10 P-02,Betsy Hodges,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-10 P-03A,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-10 P-04,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-10 P-05A,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-10 P-06,Betsy Hodges,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-10 P-07,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-10 P-08,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-10 P-09,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-10 P-10,Tom Hoch,Raymond Dehn,Betsy Hodges
MINNEAPOLIS W-11 P-01,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-11 P-02,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-11 P-03,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-11 P-04,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-11 P-05,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-11 P-06,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-11 P-07,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-11 P-08,Betsy Hodges,Tom Hoch,Jacob Frey
MINNEAPOLIS W-11 P-09,Tom Hoch,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-11 P-10,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-12 P-01,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-12 P-02,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-12 P-03,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-12 P-04,Betsy Hodges,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-12 P-05,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-12 P-06,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-12 P-07,Al Flowers,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-12 P-08,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-12 P-09,Betsy Hodges,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-12 P-10,Tom Hoch,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-12 P-11,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-12 P-12,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-12 P-13,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-13 P-01,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-13 P-02,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-13 P-03,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-13 P-04,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-13 P-05,Betsy Hodges,Tom Hoch,Jacob Frey
MINNEAPOLIS W-13 P-06,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-13 P-07,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-13 P-08,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-13 P-09,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-13 P-10,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-13 P-11,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-13 P-12,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-13 P-13,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-2 P-01,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-2 P-02,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-2 P-03,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-2 P-04,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-2 P-05,Tom Hoch,Raymond Dehn,Betsy Hodges
MINNEAPOLIS W-2 P-06,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-2 P-07,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-2 P-08,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-2 P-09,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-2 P-10,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-2 P-11,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-3 P-01,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-3 P-02,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-3 P-03,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-3 P-04,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-3 P-05,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-3 P-06,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-3 P-07,Betsy Hodges,Tom Hoch,Jacob Frey
MINNEAPOLIS W-3 P-08,Betsy Hodges,Tom Hoch,Jacob Frey
MINNEAPOLIS W-3 P-09,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-3 P-10,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-3 P-11,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-3 P-12,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-4 P-01,Tom Hoch,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-4 P-02,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-4 P-03,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-4 P-04,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-4 P-05,Tom Hoch,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-4 P-06,Tom Hoch,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-4 P-07,Tom Hoch,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-4 P-08,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-5 P-01,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-5 P-02,Betsy Hodges,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-5 P-03,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-5 P-04,Tom Hoch,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-5 P-05,Betsy Hodges,Tom Hoch,Nekima Levy-Pounds
MINNEAPOLIS W-5 P-07,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-5 P-08,Tom Hoch,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-5 P-09,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-5 P-6C,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-6 P-01,Betsy Hodges,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-6 P-02,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-6 P-03,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-6 P-04,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-6 P-05,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-6 P-06,Betsy Hodges,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-6 P-07,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-6 P-08,Betsy Hodges,Nekima Levy-Pounds,Jacob Frey
MINNEAPOLIS W-6 P-09,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-7 P-01C,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-7 P-02D,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-7 P-03,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-7 P-04D,Betsy Hodges,Tom Hoch,Jacob Frey
MINNEAPOLIS W-7 P-05,Tom Hoch,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-7 P-06,Tom Hoch,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-7 P-07,Tom Hoch,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-7 P-08,Betsy Hodges,Tom Hoch,Jacob Frey
MINNEAPOLIS W-7 P-09,Tom Hoch,Betsy Hodges,Jacob Frey
MINNEAPOLIS W-7 P-10,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-8 P-01,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-8 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-8 P-03,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-8 P-04,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-8 P-05,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-8 P-06,Raymond Dehn,Jacob Frey,Betsy Hodges
MINNEAPOLIS W-8 P-07,Betsy Hodges,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-8 P-08,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-9 P-01,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-9 P-02,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-9 P-03,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-9 P-04,Betsy Hodges,Raymond Dehn,Jacob Frey
MINNEAPOLIS W-9 P-05,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-06,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds
MINNEAPOLIS W-9 P-07,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges
MINNEAPOLIS W-9 P-08,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds
MINNEAPOLIS W-9 P-09,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey
