Precinct,Winner_1,Winner_2,Winner_3
MINNEAPOLIS W-11 P-01,Erica Mauter,Jeremy Schroeder,John Quincy
MINNEAPOLIS W-11 P-02,Erica Mauter,Jeremy Schroeder,John Quincy
MINNEAPOLIS W-11 P-03,Erica Mauter,Jeremy Schroeder,John Quincy
MINNEAPOLIS W-11 P-04,John Quincy,Jeremy Schroeder,Erica Mauter
MINNEAPOLIS W-11 P-05,Erica Mauter,Jeremy Schroeder,John Quincy
MINNEAPOLIS W-11 P-06,Erica Mauter,Jeremy Schroeder,John Quincy
MINNEAPOLIS W-11 P-07,Erica Mauter,Jeremy Schroeder,John Quincy
MINNEAPOLIS W-11 P-08,John Quincy,Jeremy Schroeder,Erica Mauter
MINNEAPOLIS W-11 P-09,John Quincy,Jeremy Schroeder,Erica Mauter
MINNEAPOLIS W-11 P-10,John Quincy,Jeremy Schroeder,Erica Mauter
