Precinct,Winner_1,Winner_2,Winner_3
127,490,491,489
248,490,491,489
249,490,491,489
250,490,491,489
251,490,491,489
252,490,491,489
253,490,491,489
254,490,491,489
255,490,491,489
256,490,491,489
257,490,491,489
258,490,491,489
259,490,491,489
262,490,491,489
272,490,491,489
273,490,491,489
274,490,491,489
275,490,491,489
276,490,491,489
277,490,491,489
278,490,491,489
279,490,491,489
280,490,491,489
281,490,491,489
282,490,491,489
283,490,491,489
284,490,491,489
285,490,491,489
286,490,491,489
287,490,491,489
288,490,491,489
289,490,491,489
290,490,491,489
291,490,491,489
293,490,491,489
295,490,491,489
839,490,491,489
846,490,491,489
847,490,491,489
848,490,491,489
849,490,491,489
850,490,491,489
851,490,491,489
