,ranking
BHWA,1139065
WHAB,778899
HBWA,537592
HWBA,460448
WHBA,424223
HWAB,396278
WBHA,347304
BWHA,184735
BWAH,181577
WAHB,169860
WBAH,153530
WABH,146364
BAWH,25054
HAWB,21599
AWHB,12667
AHWB,10491
AWBH,4602
ABWH,1997
BAHW,1351
HABW,789
BHAW,572
ABHW,479
HBAW,383
AHBW,141
