,HISP,NH_ASIAN,NH_BLACK,NH_WHITE,TOTPOP,step,ward
0,41153.7114689491,27926.901048338328,146541.75869668013,55547.94254561339,276938.7878444996,0,9
1,63887.4431896167,28415.68142167705,37514.02367834362,121860.0856532177,259477.46785476964,0,0
2,38001.142129979424,965.9900899490226,214999.71775957206,13055.046215277209,270918.9054908155,0,7
3,57486.727651765745,31867.539710243294,10768.859326264052,165948.46412572238,272270.30321854446,0,1
4,64734.47145218697,15327.615620468512,9866.432859233428,187023.47021497192,282984.5216726595,0,2
5,111428.35389987222,4608.920376130797,90137.31898563188,57030.37096967564,265929.3960996443,0,4
6,67185.12311434394,17754.00930582402,22422.061567111006,152005.32456520773,264896.90173086076,0,8
7,159495.9788484141,1699.9963011091716,66612.95841341333,52770.240943228324,282500.403441348,0,3
8,149032.39502773303,16989.336271601387,81823.49094255418,28839.35430599012,279062.27301894187,0,5
9,31923.653217138773,713.0098546584082,196358.3777711964,41729.700461095636,273812.03962791635,0,6
10,41153.7114689491,27926.901048338328,146541.75869668013,55547.94254561339,276938.7878444996,1,9
11,63887.4431896167,28415.68142167705,37514.02367834362,121860.0856532177,259477.46785476964,1,0
12,38001.142129979424,965.9900899490226,214999.71775957206,13055.046215277209,270918.9054908155,1,7
13,57486.727651765745,31867.539710243294,10768.859326264052,165948.46412572238,272270.30321854446,1,1
14,64734.47145218697,15327.615620468512,9866.432859233428,187023.47021497192,282984.5216726595,1,2
15,111428.35389987222,4608.920376130797,90137.31898563188,57030.37096967564,265929.3960996443,1,4
16,67185.12311434394,17754.00930582402,22422.061567111006,152005.32456520773,264896.90173086076,1,8
17,159495.9788484141,1699.9963011091716,66612.95841341333,52770.240943228324,282500.403441348,1,3
18,149032.39502773303,16989.336271601387,81823.49094255418,28839.35430599012,279062.27301894187,1,5
19,31923.653217138773,713.0098546584082,196358.3777711964,41729.700461095636,273812.03962791635,1,6
20,41019.92188376737,27919.877737788796,143851.22529765483,55500.668869138666,274021.1638776595,2,5
21,149166.18461291475,16996.359582150923,84514.0243415795,28886.62798246485,281979.89698578196,2,9
22,63887.4431896167,28415.68142167705,37514.02367834362,121860.0856532177,259477.46785476964,2,0
23,38001.142129979424,965.9900899490226,214999.71775957206,13055.046215277209,270918.9054908155,2,7
24,57486.727651765745,31867.539710243294,10768.859326264052,165948.46412572238,272270.30321854446,2,1
25,64734.47145218697,15327.615620468512,9866.432859233428,187023.47021497192,282984.5216726595,2,2
26,111428.35389987222,4608.920376130797,90137.31898563188,57030.37096967564,265929.3960996443,2,4
27,67185.12311434394,17754.00930582402,22422.061567111006,152005.32456520773,264896.90173086076,2,8
28,159495.9788484141,1699.9963011091716,66612.95841341333,52770.240943228324,282500.403441348,2,3
29,31923.653217138773,713.0098546584082,196358.3777711964,41729.700461095636,273812.03962791635,2,6
30,41019.92188376737,27919.877737788796,143851.22529765483,55500.668869138666,274021.1638776595,3,5
31,149166.18461291475,16996.359582150923,84514.0243415795,28886.62798246485,281979.89698578196,3,9
32,63887.4431896167,28415.68142167705,37514.02367834362,121860.0856532177,259477.46785476964,3,0
33,39386.9548046477,952.936134426294,210183.2010808658,13110.990354978194,267462.77929144143,3,7
34,57486.727651765745,31867.539710243294,10768.859326264052,165948.46412572238,272270.30321854446,3,1
35,64734.47145218697,15327.615620468512,9866.432859233428,187023.47021497192,282984.5216726595,3,2
36,111428.35389987222,4608.920376130797,90137.31898563188,57030.37096967564,265929.3960996443,3,4
37,67185.12311434394,17754.00930582402,22422.061567111006,152005.32456520773,264896.90173086076,3,8
38,159495.9788484141,1699.9963011091716,66612.95841341333,52770.240943228324,282500.403441348,3,3
39,30537.84054247049,726.0638101811369,201174.89444990264,41673.75632139465,277268.16582729045,3,6
40,41019.92188376737,27919.877737788796,143851.22529765483,55500.668869138666,274021.1638776595,4,5
41,149166.18461291475,16996.359582150923,84514.0243415795,28886.62798246485,281979.89698578196,4,9
42,63887.4431896167,28415.68142167705,37514.02367834362,121860.0856532177,259477.46785476964,4,0
43,39386.9548046477,952.936134426294,210183.2010808658,13110.990354978194,267462.77929144143,4,7
44,57486.727651765745,31867.539710243294,10768.859326264052,165948.46412572238,272270.30321854446,4,1
45,64734.47145218697,15327.615620468512,9866.432859233428,187023.47021497192,282984.5216726595,4,8
46,111428.35389987222,4608.920376130797,90137.31898563188,57030.37096967564,265929.3960996443,4,4
47,67185.12311434394,17754.00930582402,22422.061567111006,152005.32456520773,264896.90173086076,4,2
48,159495.9788484141,1699.9963011091716,66612.95841341333,52770.240943228324,282500.403441348,4,3
49,30537.84054247049,726.0638101811369,201174.89444990264,41673.75632139465,277268.16582729045,4,6
50,41019.92188376737,27919.877737788796,143851.22529765483,55500.668869138666,274021.1638776595,5,3
51,149166.18461291475,16996.359582150923,84514.0243415795,28886.62798246485,281979.89698578196,5,9
52,63887.4431896167,28415.68142167705,37514.02367834362,121860.0856532177,259477.46785476964,5,0
53,39386.9548046477,952.936134426294,210183.2010808658,13110.990354978194,267462.77929144143,5,7
